Nombre,Precio,kilometraje,Transmisión,Combustible
2012 Chrysler Grand Town Country,11500000,86.000 km,Automática,Bencina
2012 BMW 320 320iA Luxury,16000000,49.000 km,Automática,Bencina
2018 Toyota Yaris 1.5 LEI Auto,12490000,29.629 km,Automática,Bencina
2018 Suzuki Ciaz 1.4 Manual GL BT,10890000,53.002 km,Manual,Bencina
2015 Hyundai Santa Fe 2.2 DM GLS 4WD Auto Full,21000000,130.000 km,Automática,Diesel
2015 Peugeot Bipper 1.3 HDI 75 HP PL AA,8300000,146.000 km,Manual,Diesel
2019 Lexus Rc F,63000000,19.000 km,Automática,Bencina
2018 Peugeot Partner 1.6 HDI 90HP Manual Maxi Nav,13390000,100 km,Manual,Diesel
2010 Suzuki Grand Nomade,8570000,128.000 km,Manual,Bencina
2017 Nissan Sentra 1.8 Advance CVT Auto,12000000,48.000 km,Automática,Bencina
2021 Nissan Versa 1.6 Advance,13800000,3.000 km,Manual,Bencina
2016 Renault Clio 1.2 Expression,8990000,72.596 km,Manual,Bencina
2015 Ford F-150 3.5 Platinum Auto Ecoboost 4WD,26990000,146.000 km,Automática,Bencina
2018 BMW X5,34500000,95.000 km,Automática,Diesel
2004 Mitsubishi Galant 2.0 Super Saloon,3900000,143.000 km,Automática,Bencina
2015 Kia Rio 4,8200000,155.874 km,Manual,Bencina
2011 Chevrolet Spark Gt HB LT 1.2,4990000,88.000 km,Manual,Bencina
2021 Mitsubishi L200 2.4 TD Work CD CR,20000000,8.800 km,Manual,Diesel
2021 Citroën C3 AIRCROSS Diesel Feel Nuevo Modelo,16690000,NA,Manual,Diesel
2018 Ford F-150 3.5 Raptor Auto Ecoboost 4WD,54990000,54.000 km,Automática,Bencina
2019 Kia Sportage,20500000,18.500 km,Manual,Diesel
2013 Peugeot 208 1.4 HDI 68 HP Active,8290000,242.500 km,Manual,Diesel
2013 BMW M5 4.4 M5,34490000,72.000 km,Automática,Bencina
2015 Suzuki Swift 1.2 GA AC,7500000,93.037 km,Manual,Bencina
2019 Ford Fiesta 1.6 Manual SE HB,10590000,27.000 km,Manual,Bencina
2020 MG 3,8500000,11.420 km,Manual,Bencina
2012 Ford Edge 2.0 SEL Ecoboost Auto,13000000,109.000 km,Automática,Bencina
2014 Mercedes-Benz C 180 1.8 C 180 Auto Blue Efficiency,16499900,64.200 km,Automática,Bencina
2015 Renault Fluence 2.0 Dynamique CVT,11400000,60.000 km,Automática,Bencina
2017 Kia Rio 5 LX 1.2,10490000,83.000 km,Manual,Bencina
2019 Jeep Grand Cherokee,40800000,40.678 km,Automática,Diesel
2015 Fiat Fiorino City,8000000,148.000 km,Manual,Diesel
2011 Hyundai Tucson,12300000,176.000 km,Manual,Diesel
2012 Mitsubishi Montero Sport 2.5 Diesel G2 4X2,14980000,182.000 km,Manual,Diesel
2013 Volkswagen Saveiro,6500000,104.511 km,Manual,Bencina
2014 Nissan Juke,11400000,90.000 km,Automática,Bencina
2016 Toyota RAV4 SUPER LUJO 4X4 724ML2,12480000,39.900 km,Manual,Bencina
2006 Mitsubishi Montero Sport,8500000,130.000 km,Manual,Otros
FORD EXPLORER 2017 EXPLORER 2.3 AUT,30790000,57.714 km,Automática,Bencina
2017 Volkswagen Gol 1.6 Manual Trendline,8350000,39.000 km,Manual,Bencina
2018 Volkswagen Amarok 2.0 TDI Comfortline Auto 4WD,27580000,75.000 km,Automática,Diesel
2012 Kia Rio 5 1.4 EX Manual AB AC,7300000,155.000 km,Manual,Bencina
2014 Mercedes-Benz E 200 2.0 E 200 Auto,15980000,65.000 km,Automática,Bencina
2014 Toyota Hilux,17000000,98.000 km,Manual,Diesel
2008 Nissan Murano 2008,9000000,200.000 km,Automática,Bencina
2019 Suzuki Swift 1.2 GLX CVT Auto,12790000,22.100 km,Automática,Bencina
2014 Ford Mustang,31500000,45.000 km,Automática,Bencina
2009 Citroën Xsara Picasso,5300000,86.700 km,Manual,Bencina
2008 Jeep New Grand Cherokee,8500000,275.000 km,Automática,Bencina
2016 Volkswagen Golf 1.4 TSI DSG Sport,13800000,86.000 km,Automática,Bencina
