Nombre,Precio,kilometraje,Transmisión,Combustible
2003 Mitsubishi Evo,23000000,3.000 km,Manual,Bencina
2021 Suzuki SWIFT 1.2 GLX HB AC MT 5P,12690000,9.113 km,Manual,Bencina
2018 KIA MOTORS SPORTAGE 2.0 GSL LX,17990000,51.000 km,Manual,Bencina
2018 BMW X5 3.0 XDrive35i A,40500000,36.000 km,Automática,Bencina
2021 Ford F-150 3.5 Auto Limited 4WD,48000000,14.700 km,Automática,Bencina
2015 Fiat Fiorino City,8390000,106.000 km,Manual,Bencina
2015 Nissan Navara 2.5 DSL SE2 4WD,16490000,172.700 km,Manual,Diesel
2016 Jac S3 1.5 Luxury,8250000,102.000 km,Manual,Bencina
2019 Opel Crossland X 1.2 Turbo Enjoy Auto,15990000,24.000 km,Automática,Bencina
2017 Chery Tiggo 2 1.5 GLX,9490000,38.000 km,Manual,Bencina
2013 Chevrolet D-Max 2.5 DC DAB ABS 4X4,12000000,149.805 km,Manual,Diesel
2008 Mercedes-Benz C 180 C 180 K,12000000,169.000 km,Automática,Bencina
2018 Hyundai H-1 2.5 TQ CRDI 3S Doble Puerta,14980000,180.000 km,Manual,Diesel
2013 Nissan Qashqai 1.6 4x2,10500000,73.000 km,Manual,Bencina
2019 Fiat Uno 1.4 Manual Evo Way AC,8190000,35.000 km,Manual,Bencina
2015 Fiat 500L,6500000,78.500 km,Manual,Bencina
2016 SsangYong Actyon Sports 2.0D LL ABS 2AB NAS612,14200000,95.351 km,Manual,Diesel
2017 Toyota Hilux,18500000,60.000 km,Manual,Bencina
2016 Volvo Xc70 2.4 D5 Comfort Auto 4WD,16500000,133.426 km,Automática,Diesel
2021 Suzuki Swift 1.2 GLX,12600000,5.379 km,Manual,Bencina
2017 Toyota 4Runner 4.0 SR5 MV Auto 4WD,22500000,90.000 km,Automática,Bencina
2008 Mercedes-Benz C 300,12450000,280.000 km,Automática,Bencina
2009 Mercedes-Benz B 200,10190000,130.000 km,Automática,Otros
2016 Ford F-150 3.5 Platinum Auto Ecoboost 4WD,33980000,97.000 km,Automática,Bencina
2018 Suzuki Baleno 1.4 GLX,10700000,24.950 km,Manual,Bencina
2001 BMW 330,10400000,200.000 km,Manual,Bencina
2018 Peugeot 301 1.6 VTI Active Pack,11250000,46.500 km,Manual,Bencina
2020 BMW M4 3.0 M4 Coupe Auto,56990000,4.300 km,Automática,Bencina
2014 Nissan Qashqai 1.6 4x2,11400000,87.000 km,Manual,Bencina
2010 Saab 9-3,8700000,137.899 km,Automática,Bencina
2010 Mercedes-Benz Slk 55 Amg 5.4 SLK 55 AMG,25500000,36.000 km,Automática,Bencina
2022 Changan Alsvin 1.4 Comfort,9180000,NA,Manual,Bencina
2017 Mazda Cx-9 2.5 R Auto 4WD,26990000,63.744 km,Automática,Bencina
2017 Chevrolet Tracker 1.8 LT ML,13490000,95.000 km,Manual,Bencina
2017 Nissan Np300 2.3 Manual DSL SE 4WD,19980000,70.000 km,Manual,Diesel
2016 Jeep Grand Cherokee LIMITED 3.6,24990000,149.600 km,Automática,Bencina
2017 Renault Clio 0.9T Manual Dynamique Rojo,10000000,107.000 km,Manual,Bencina
2014 Jeep Patriot,12300000,141.000 km,Automática,Bencina
2015 SUZUKI CELERIO 1.0 GLX,7990000,77.000 km,Manual,Bencina
2016 Suzuki Grand Vitara GLX SPORT,12980000,100.000 km,Manual,Bencina
2021 Chery ARRIZO3 ARRIZO 3 GLX MT 1.5 MN,8190000,2.147 km,Automática,Bencina
2017 Kia RIO 5 EX 1.4 FULL UNICA DUEÑA SALO 25.332 KMS,10980000,25.332 km,Manual,Bencina
2018 MG 3 Confort,8899000,36.078 km,Manual,Bencina
2017 Peugeot 208 1.2 Puretech 110 Manual Active Pack,10300000,53.000 km,Automática,Bencina
2006 Mercedes-Benz E 280,9490000,249.000 km,Automática,Bencina
2015 Mazda Cx-5 2.5 Skyactiv GT Auto 4WD,16990000,92.000 km,Automática,Bencina
2015 Chevrolet Traverse 3.6 LTZ Auto 4WD,20000000,81.000 km,Automática,Bencina
2015 Suzuki Grand Vitara,11500000,180.000 km,Automática,Bencina
2018 BMW 530 3.0 530D A Luxury,41900000,30.000 km,Automática,Diesel
2018 Mercedes Benz E 300 Coupé,39000000,10.239 km,Automática,Bencina
2020 Mercedes-Benz 250,30500000,32.000 km,Automática,Bencina
2017 Chevrolet Spin,11350000,116.400 km,Manual,Bencina
2020 Nissan Pathfinder,26990000,23.000 km,Automática,Bencina
2019 Chevrolet Sail 1.5,9290000,74.300 km,Manual,Bencina
2018 Mazda Cx-5 2.0 Skyactiv R Auto 4WD,18500000,83.000 km,Automática,Bencina
2020 Lada Largus 1.6,8900000,13.800 km,Manual,Bencina
2019 Chevrolet Traverse 3.6 Premier Auto 4WD,29500000,39.000 km,Automática,Bencina
2012 Subaru Outback 2.5I AWD CVT XS,11500000,155.000 km,Automática,Bencina
2020 Ford F-150 5.0 Double Cab Lariat Sport 4WD,38990000,72.000 km,Automática,Bencina
