Nombre,Precio,kilometraje,Transmisión,Combustible
2012 Peugeot 207,6000000,279 km,Manual,Bencina
2015 Chevrolet Traverse 3.6 1LT Auto,17490000,66.000 km,Automática,Bencina
2019 Great Wall C30 1.5 VVT Classic Comfort,8690000,72.773 km,Manual,Bencina
2021 BMW 418 bmw,29900000,7.100 km,Automática,Bencina
2016 Chevrolet D-Max 2.5 DC 4WD,17700000,108.380 km,Manual,Diesel
2018 BMW X2 XDRIVE20D SPORT 2.0 AUT,33400000,39.100 km,Automática,Diesel
2018 Fiat Argo 1.3 ELX,9850000,59.000 km,Manual,Bencina
2014 BMW X6 3.0 XDrive30D A,35000000,223.277 km,Automática,Diesel
2016 Nissan Np300 2.3 DSL XE,16790000,78.800 km,Manual,Diesel
2009 Ford Explorer XLT 4X2,8990000,169.000 km,Automática,Bencina
2015 Nissan March 1.6 Active,6990000,71.000 km,Manual,Bencina
2017 Mercedes-Benz Glc 220 2.1 GLC 220D Auto 4Matic,33990000,98.840 km,Automática,Diesel
2016 Foton Midi Doble Cabina,5800000,65.000 km,Manual,Bencina
2016 Suzuki Swift 1.2 GLS,8600000,62.000 km,Manual,Bencina
2011 Mercedes-Benz Clc 180,10500000,147.000 km,Automática,Bencina
2018 Kia Rio 4 1.4 EX Full,10000000,78.000 km,Manual,Bencina
2017 Toyota Rush AT,12990000,41.500 km,Automática,Bencina
2014 SKODA Yeti 2.0 TDI Elegance DSG 4WD,11980000,80.000 km,Automática,Diesel
2006 Audi Tt,10500000,147.000 km,Automática,Bencina
2021 Peugeot Partner 1.6 HDI L2,20500000,NA,Manual,Diesel
2013 BMW 116 1.6 116i,13500000,68.900 km,Manual,Bencina
2009 Subaru Legacy 2.5I Auto 3S Limited,8200000,151.704 km,Automática,Bencina
2008 Hyundai Santa Fe 2.2 GLS 4WD AUTO FULL,5500000,80.000 km,Automática,Diesel
2006 Hyundai Accent,5290000,234.200 km,Manual,Diesel
2018 BMW X5 2.0 SDrive25D A,36990000,67.000 km,Automática,Diesel
2013 Nissan Versa 1.6 Advance,6300000,150.855 km,Manual,Bencina
2004 Chevrolet Zafira,4500000,158.000 km,Automática,Bencina
2019 BMW M6 Gran Coupe LCI,68980000,25.053 km,Automática,Bencina
2018 Peugeot 208 1.2 Puretech 82 HP Manual Active,9950000,68.000 km,Manual,Bencina
2012 Suzuki Celerio 1.0 GLX AC,5190000,77.000 km,Manual,Bencina
2020 Suzuki Ignis 1.2 Manual GLX,10500000,14.500 km,Manual,Bencina
2012 Toyota Land Cruiser Prado 2.7 TX-L 3P Auto 4WD,16800000,120.000 km,Automática,Bencina
2015 Peugeot Expert,11300000,100.000 km,Manual,Diesel
2018 Peugeot 301 1.6 HDI Allure,9900000,150.000 km,Manual,Diesel
2018 Mazda Bt-50 2.2 DSL Manual SDX 4WD,20300000,125.000 km,Manual,Diesel
2012 Mercedes-Benz C 200 1.8 C 200 Blue Efficiency Elegance,13000000,135.000 km,Automática,Bencina
2018 Mazda Cx-3 2.0 R Auto Skyactive,18000000,27.000 km,Automática,Bencina
2001 Kia Besta,4500000,210.000 km,Manual,Diesel
2020 BMW 740 3.0 740i A,59900000,7.340 km,Automática,Bencina
2015 Hyundai Porter,14800000,260.000 km,Manual,Diesel
2016 Citroën Berlingo 1.6 HDI VU BVM5 AA 2AB Corto,8800000,135.000 km,Manual,Diesel
2018 Chevrolet SPIN 1.8L LTZ MT,8990000,146.245 km,Manual,Bencina
2017 Mazda Cx-5,18500000,50.000 km,Automática,Bencina
2009 Kia Sorento,9900000,112.000 km,Automática,Bencina
2017 Mercedes-Benz A 200 1.6 Manual A 200,18700000,80.000 km,Manual,Bencina
2018 Peugeot 301 1.6 HDI Active Pack,11000000,61.600 km,Manual,Diesel
1962 Chevrolet Impala,9300000,99.999.999 km,Manual,Bencina
2017 Ford Ecosport 1.6 Manual SE,11990000,60.170 km,Manual,Bencina
2013 Dodge JOURNEY se,11590000,130.000 km,Automática,Bencina
2018 Suzuki Alto 0.8 800 Manual DLX AC 2AB,6790000,130.000 km,Manual,Bencina
2010 Hyundai Elantra HD 1.6 GLS AA,5200000,156.000 km,Manual,Bencina
2017 Nissan Np300 2.3 Manual DSL XE 4WD,19800000,117.000 km,Manual,Diesel
2011 Hyundai Santa Fe 2.4 GLS 4WD Auto FullL,12300000,101.000 km,Automática,Bencina
2017 Suzuki Celerio,6700000,55.000 km,Manual,Bencina
2005 Chevrolet Corsa 1.6 Extra Pwr Cd Ac,2600000,100 km,Manual,Bencina
2016 Suzuki Grand Vitara,14200000,75.000 km,Automática,Bencina
2020 Chevrolet SUBURBAN 5.3 Blindada,68990000,1.510 km,Automática,Bencina
2016 Changan Cv1 1.0 Luxury 2AB,4500000,64.000 km,Manual,Bencina
2011 Hyundai Elantra HD 1.6 GLS AA,8600000,127.000 km,Manual,Bencina
2020 Renault SYMBOL ZEN,9200000,16.341 km,Manual,Bencina
2014 Volvo S60 2.0 T5 Powershift Plus,14100000,103.000 km,Automática,Bencina
2018 Dodge Ram 1500 RAM 1500 SLT,32900000,80.000 km,Automática,Bencina
2016 Nissan Np300 2.3 DSL LE 4WD,21990000,73.000 km,Manual,Diesel
2018 Volvo Xc60 2.0 D5 Momentum Auto 4WD,32500000,65.879 km,Automática,Diesel
2013 Volkswagen Saveiro,6500000,104.511 km,Manual,Bencina
2014 MINI Countryman 1.6 Cooper D Auto,16500000,136.000 km,Automática,Diesel
FIAT DUCATO 2020 MAXI CARGO L1 H1 (8MT3),22990000,76.722 km,Manual,Diesel
2017 Nissan X-Trail 2.5 CVT Auto Sense,16800000,51.500 km,Automática,Bencina
2018 SsangYong Korando 2.0 Manual Std Full Manual KC1011,12500000,50.500 km,Manual,Bencina
2020 Renault Captur 1.5 Manual DCI Zen,15250000,7.530 km,Manual,Diesel
2013 Mazda Mx-3,7500000,150.000 km,Manual,Bencina
2012 Peugeot Partner,8000000,200.000 km,Manual,Diesel
1997 Suzuki Nomade,4800000,245.000 km,Manual,Bencina
2018 MG 3,7300000,44.000 km,Manual,Bencina
2017 Suzuki Ignis 1.2 Manual GL,9480000,1 km,Manual,Bencina
2018 Hyundai Grand I10 Gls,8000000,56.000 km,Manual,Bencina
2009 Mazda 3,5950000,193 km,Manual,Bencina
2017 Nissan X-Trail 2.5 CVT Auto Sense,17990000,39.100 km,Automática,Bencina
2017 Nissan Versa 1.6 Manual Sense,9490000,35.000 km,Manual,Bencina
2015 MINI Paceman,14750000,101.000 km,Automática,Bencina
2019 Chevrolet Prisma 1.4 LTZ,10500000,71.000 km,Manual,Bencina
2021 Nissan Nissan Np300 Navara 2.3D DC SE 4WD,26190000,1 km,Manual,Diesel
2013 Chevrolet Spark 1.0 LT,4000000,68.000 km,Manual,Bencina
2016 Mitsubishi MONTERO SPORT 2.5 Diesel G2 4X4,19990000,94.000 km,Automática,Diesel
2013 Mitsubishi Montero 3.2 CR 3P Diesel Auto,18990000,120.000 km,Automática,Diesel
2020 BMW 418,27990000,29.000 km,Automática,Bencina
2017 Nissan Pathfinder 3.5 Exclusive CVT 4WD,24500000,62.000 km,Automática,Bencina
2014 SsangYong Actyon Sports 2.0D Auto 4WD,15500000,151.000 km,Automática,Diesel
2009 Citroën C3 1.4 AC,4200000,113.000 km,Manual,Bencina
2021 Toyota Rush,16000000,980 km,Automática,Bencina
2015 Mazda 6 2.5 Skyactiv-G GT Auto,15990000,135.000 km,Automática,Bencina
2013 Kia Sportage 2.0 LX Auto AC DAB,11000000,107.000 km,Automática,Bencina
2016 Peugeot 208 1.6 HDI 92 HPActive Pack,8500000,102.660 km,Manual,Diesel
2014 Mitsubishi Outlander 2.4 GLS CVT 4WD,15380000,89.000 km,Automática,Bencina
2018 Citroën BERLINGO HDI 92 BVM AA,11500000,86.000 km,Manual,Diesel
2017 Ford F-150 5.0 Double Cab Lariat Sport 4WD,31990000,66.000 km,Automática,Bencina
2017 BMW X1 2.0 SDrive20i A Luxury,22900000,58.000 km,Automática,Bencina
2013 SsangYong Stavic,12200000,160.000 km,Automática,Diesel
