Nombre,Precio,kilometraje,Transmisión,Combustible
2011 Audi Tt 2.0 TFSI Coupe STronic,15900000,110.000 km,Automática,Bencina
2014 Mercedes-Benz C 180 1.8 C 180 CGI Blue Efficiency Limited,16000000,68.000 km,Automática,Bencina
KIA MORNING 2021 1.2 EX,12380000,6.000 km,Manual,Bencina
2017 Peugeot Partner 1.6 HDI L1 90HP Manual Pack AA,12580000,88.000 km,Manual,Diesel
2020 Opel Corsa 1.4 Color 5P,12000000,5.500 km,Manual,Bencina
2012 Nissan Tiida 1.6 S,5990000,95.000 km,Manual,Bencina
2008 Mazda 5,7500000,196.000 km,Manual,Bencina
2021 Hyundai Accent 1.4 Value,12000000,800 km,Manual,Bencina
2016 Fiat Palio 1.4 Evo Attractive AA,7290000,57.500 km,Manual,Bencina
2016 Ford Explorer 3.5 Limited Auto 4WD,24990000,90.500 km,Automática,Bencina
2015 KIA MOTORS SORENTO 2.2 EX 7P DSL,17703210,100.000 km,Manual,Diesel
2020 Peugeot Partner 1.6 HDI L1,17190000,44.047 km,Manual,Diesel
2011 Porsche Panamera,32000000,56.000 km,Automática,Bencina
2005 Hyundai Accent Prime,3000000,495.504 km,Manual,Bencina
2014 Kia Sportage,12800000,161.000 km,Automática,Bencina
2018 Mitsubishi Outlander Outlander,16200000,32.000 km,Automática,Bencina
2012 BMW 640 3.0 640I A Coupe,25990000,97.000 km,Automática,Bencina
2014 Suzuki Jimny,8700000,95.000 km,Manual,Bencina
2019 Volkswagen Amarok 2.0 TDI Manual Trendline 4WD,23900000,75.135 km,Manual,Diesel
2018 Citroën BERLINGO HDI,11500000,115.810 km,Manual,Diesel
2018 Audi A3 2.0 TFSI Stronic Auto Sport,26450000,26.500 km,Automática,Bencina
2008 Hyundai Getz,4300000,186.262 km,Manual,Diesel
2015 Chevrolet Sail 1.4 LT,6790000,120.000 km,Manual,Bencina
2018 Chevrolet Tracker 1.8 LT,15980000,29.000 km,Manual,Bencina
2020 Kia Morning 1.2 EX Full,9990000,46.800 km,Manual,Bencina
2020 Chevrolet D-Max 2.5 DC 4WD,21900000,50.300 km,Manual,Diesel
2020 Chevrolet Tracker 1.8 LT,14800000,10.000 km,Manual,Bencina
2013 Chevrolet Cruze 1.8 Auto LS,5850000,102.000 km,Automática,Bencina
2014 Chevrolet Silverado 5.3 Extended Cab. Auto 4WD,22000000,190.000 km,Automática,Bencina
2019 Volkswagen Golf 1.4 TSI Manual Highline,20500000,27.000 km,Manual,Bencina
2012 Mazda 2 1.5 V,6600000,100.900 km,Manual,Bencina
2008 Chevrolet D-Max,10300000,12.345 km,Manual,Diesel
2017 SsangYong Tivoli 1.6D Manual,11200000,75.000 km,Manual,Diesel
2016 Subaru Forester 2.5 CVT Limited Sport 4WD,18500000,79.100 km,Automática,Bencina
NISSAN VERSA 2018 VERSA SENSE 1.6,9990000,42.953 km,Manual,Bencina
2013 Suzuki Celerio,6100000,111.000 km,NA,NA
2012 Dodge Durango 5.7 V8 Hemi Citadel AWD,15200000,200.000 km,Automática,Bencina
2015 Fiat Fiorino City,8890000,80.000 km,Manual,Diesel
2012 SsangYong Actyon Sports 2.0 4x4 Full,10490000,274.548 km,Manual,Diesel
2017 Peugeot Tepee Tres corridas de asiento,17690000,37.800 km,Manual,Diesel
2015 Hyundai Accent Accent,7950000,93.000 km,Manual,Bencina
2017 Dodge Ram 1500,32900000,115.000 km,Automática,Gas
2014 Toyota Hilux HILUX D CAB TDI 2.5 4x2,14990000,215.000 km,Manual,Diesel
2008 Nissan V16 1.6,3000000,480.000 km,Manual,Bencina
