Nombre,Precio,kilometraje,Transmisión,Combustible
2017 Jac X200,18500000,70.000 km,Manual,Diesel
2007 BMW M5,18690000,173.500 km,Automática,Bencina
2016 Toyota Yaris Sport,10500000,66.000 km,Manual,Bencina
MAHINDRA PIK-UP 2016 NEW MAHINDRA PICK UP XL C/S 4X4 2AB ABS,12990000,56.150 km,Manual,Diesel
2012 Chevrolet Optra 1.6 XL Limited,6500000,92.865 km,Manual,Bencina
2013 Kia Sportage 2.0 DSL LX AC DAB,13500000,106 km,Manual,Diesel
2013 Mahindra Xuv500 2.2 Diesel High End,8600000,135.473 km,Manual,Diesel
2007 Dodge Durango LIMITED,13600000,128.493 km,Automática,Bencina
2014 Renault Kangoo,4500000,221.000 km,Manual,Diesel
2017 SKODA Yeti,12990000,78.000 km,Automática,Bencina
2017 Nissan Np300 2.3 Manual DSL XE 4WD,19999990,94.000 km,Manual,Diesel
2017 Mercedes-Benz C 180 1.6 C 180 Auto,23980000,14.000 km,Automática,Bencina
2018 Ford ESCAPE 2.0 S 4X2 DIESEL MT 5P,19890000,56.552 km,Manual,Diesel
2011 Regal Raptor Raptor 5.4,19000000,120.000 km,Automática,Bencina
2012 Suzuki Celerio 1.0 GA,5000000,76.000 km,Manual,Bencina
2014 Hyundai Tucson 2.0 Auto GL AA 2AB,12850000,92.600 km,Automática,Bencina
2016 Hyundai Accent 1.4 RB GL AV,9890000,96.000 km,Manual,Bencina
2012 Hyundai Veracruz 3.8 GLS Full,11900000,137.000 km,Automática,Bencina
2017 Mercedes-Benz Vito,16900000,145.000 km,Manual,Diesel
2010 Subaru New Legacy,10500000,115.000 km,Automática,Bencina
2005 Jeep Grand Cherokee,9000000,268.000 km,Automática,Bencina
2018 Ford Focus 2.3 Ecoboost RS 4WD,29990000,43.000 km,Manual,Bencina
2011 Audi S6 5.2 FSI Tiptronic Quattro,18900000,108.015 km,Automática,Bencina
2021 BMW 220 2.0 220i A,26500000,16.000 km,Automática,Bencina
2013 Jaguar Xf 3.0,17990000,127.700 km,Automática,Bencina
2006 Porsche 911 Carrera 994 4S,44980000,97.000 km,Manual,Bencina
2014 TOYOTA YARIS SPORT 1.3 XLI Sport 5P,9590000,52.242 km,Manual,Bencina
2008 Peugeot 206,4200000,212.000 km,Manual,Bencina
2017 Mazda 3 Sport,18000000,41.000 km,Automática,Bencina
2014 Opel Corsa 1.4 Enjoy,7600000,81.000 km,Manual,Bencina
2015 Nissan Navara LUX LE MT,15870000,73.138 km,Manual,Diesel
2012 Nissan Terrano,13500000,101.470 km,Manual,Diesel
2016 Kia Rio 5 1.4 EX Manual ABS,9100000,70.000 km,Manual,Bencina
2016 Honda Accord 3.5 V6 Auto,19500000,51.000 km,Automática,Bencina
2018 MG Mg3 1.5 Comfort Plus,8500000,84.000 km,Manual,Bencina
