Nombre,Precio,kilometraje,Transmisión,Combustible
2020 BMW M4 3.0 M4 Coupe Auto,56990000,4.300 km,Automática,Bencina
2017 Citroën C-Elysee 1.6 HDI Seduction,8990000,120.000 km,Manual,Diesel
2008 Citroën C4,4900000,125.000 km,Manual,Bencina
2017 Chevrolet D-Max NEW D MAX 4WD 2.5 DC HIGH AT,20590000,199.800 km,Automática,Diesel
2017 Nissan Versa 1.6 Manual Drive,8600000,67.191 km,Manual,Bencina
2014 Kia Rio 5,8390000,123.000 km,Automática,Bencina
2013 Ford Edge 3.5 SEL 4WD,15000000,104.000 km,Automática,Bencina
2017 Suzuki Swift,8500000,46.000 km,Manual,Bencina
2005 Hyundai Trajet,7100000,113.000 km,Automática,Bencina
2015 Honda Cr-V 2.4 EXL Auto 4WD,14990000,109.000 km,Automática,Bencina
2018 Peugeot 308 1.6 BlueHDI 120 HP Manual Feline,15990000,96.000 km,Manual,Diesel
2008 Alfa Romeo 159 3.2 JTS Q4,16900000,73.700 km,Automática,Bencina
2014 Mitsubishi L200 D/C 4X2 TD Work CR,13700000,249.000 km,Manual,Diesel
2021 Mitsubishi Outlander 2.0 Manual,18900000,9.000 km,Manual,Bencina
2018 Hyundai Accent gls,10250000,70.000 km,Manual,Bencina
2013 Kia Rio 3,7900000,126.000 km,Manual,Bencina
2017 BMW M2 COUPE 3.0 AT,48200000,57.986 km,Automática,Bencina
2016 BMW I3 I3 ATELIER AUT,21990000,43.304 km,Automática,Eléctrico
2016 SsangYong Actyon Sports 2.0D LL ABS 2AB NAS612,15500000,98.000 km,Manual,Diesel
2019 Renault Dokker 1.6 GSL AC,11300000,55.000 km,Manual,Bencina
2007 BMW 320 320D,9250000,221.000 km,Automática,Diesel
2015 Suzuki St Swift 1.2 GLS AC,7200000,53.500 km,Manual,Bencina
2021 MINI Mini 2.0 John Cooper Works Auto,34890000,1.900 km,Automática,Bencina
2018 Hyundai Creta,13500000,56.900 km,Manual,Bencina
2020 Toyota Hilux 2.4D Manual SR,27090000,27.710 km,Manual,Diesel
2008 BMW 740 740 IA INDIVIDUAL AUTO,15000000,131.212 km,Automática,Bencina
2017 Chevrolet Silverado SILVERADO LT,24990000,70.000 km,Automática,Bencina
2019 Volkswagen Tiguan 2.0 TDI DSG Comfortline 7A 4Motion,22850000,58.800 km,Automática,Diesel
2007 Mercedes-Benz A 170,6790000,100.000 km,Manual,Bencina
2021 Chevrolet SUBURBAN 5.3L Z71 AWD AT 5P,53990000,7.400 km,Automática,Bencina
2007 Hyundai Terracan,7280000,160.000 km,Automática,Diesel
2015 Kia Morning EX 1.2,7290000,65.926 km,Manual,Bencina
2016 Kia Sportage 2.0 DSL LX AC DAB,14490000,134.000 km,Manual,Diesel
2012 Nissan Teana 2.5 SE Auto,3500000,137.000 km,Automática,Bencina
2014 Audi A3 1.8 TFSI S Tronic Attraction Sportback,14500000,84.000 km,Automática,Bencina
2011 Chevrolet Silverado 5.3 Auto 4X4 CD,16800000,176.000 km,Automática,Bencina
2015 Nissan Versa 1.6 Sense,8590000,120.120 km,Manual,Bencina
2013 Mercedes-Benz 180,13500000,165.395 km,Automática,Bencina
2006 Subaru Outback 2.5 AT AWD UN,8750000,174.000 km,Automática,Bencina
2007 Hyundai Porter Hr HR STD TDI CAMIONETA DC PS,7800000,248.000 km,Manual,Diesel
2014 Honda Accord 2.4 EXL Auto,15290000,65.300 km,Automática,Bencina
2014 Ford Ecosport,10280000,75.000 km,Manual,Bencina
2014 Haima Haima2,4450000,108.000 km,Manual,Bencina
2018 Hyundai Santa Fe 2.4 DM Manual GLS,20498000,98.500 km,Manual,Bencina
2013 Peugeot 208 ALLURE HDI 1.4,8990000,110.200 km,Manual,Diesel
2015 Chevrolet Silverado LTZ Z71 4WD,27850000,130.000 km,Automática,Bencina
2008 Mercedes-Benz C 63 Amg C 63 AMG,25990000,115.009 km,Automática,Bencina
2013 Kia Sportage 2.0 DSL EX Auto Full 4WD,13700000,145.000 km,Automática,Diesel
2007 Honda Fit 1.4 EX AT,6100000,162.300 km,Automática,Bencina
2014 Chevrolet Cruze 1.8 Auto LS,8000000,110.000 km,Automática,Bencina
2017 BMW X4 2.0 XDrive20I A,29000000,32.000 km,Automática,Bencina
2013 Nissan Juke 1.6 Turbo Upper,8900000,122.000 km,Manual,Bencina
2014 Nissan Navara Se 2.5,12300000,172.500 km,Manual,Diesel
2003 Chevrolet Corsa Evolution 1.8 GLS,3300000,218.533 km,Manual,Bencina
2012 Mitsubishi Asx 2.0 2WD GLX,11000000,83.400 km,Manual,Bencina
2005 Toyota Yaris Sport,4200000,221.000 km,Manual,Bencina
"RAM VAN 700 2021 V700 RAPID 1.4L ST AA (3,1MTS3)",11990000,5.575 km,Manual,Bencina
2016 SsangYong Actyon Sports,12500000,200.000 km,NA,NA
2016 Nissan Np300 2.3 DSL SE 4WD,18490000,101.000 km,Manual,Diesel
2020 Peugeot Rifter 1.6 BlueHDI 100 Allure,15980000,NA,Manual,Diesel
2015 Nissan Pathfinder PATHFINDER IMPECABLE,15990000,85.000 km,Automática,Bencina
2014 Hyundai Santa Fe 2.4 DM GLS,15000000,133.800 km,Manual,Bencina
2012 Toyota Urban Cruiser 1.3 GLI,9000000,101.000 km,Manual,Bencina
