Nombre,Precio,kilometraje,Transmisión,Combustible
2016 Peugeot 2008,12500000,94.000 km,Manual,Diesel
2010 Subaru Legacy 2.0I 4P AWD CVT XS,8490000,142.331 km,Automática,Bencina
2016 Nissan Np300 XE,15500000,58.000 km,Manual,Bencina
1990 Mitsubishi Montero,5000000,370.000 km,Automática,Diesel
2017 Opel Astra,22600000,51.000 km,Manual,Bencina
2016 BMW 218,15000000,47.200 km,Automática,Bencina
KIA RIO 5 2015 EX,11580000,71.000 km,Manual,Bencina
2012 Honda Cr-V 2.4,12850000,163.000 km,Automática,Bencina
2007 Peugeot 307 X-LINE 5P 1.6,3700000,110.000 km,Manual,Bencina
2013 BMW 730 i 3.0 AUT,19480000,96.090 km,Automática,Bencina
2015 Honda City 1.5 EX CVT,9650000,114.250 km,Automática,Bencina
2011 Mitsubishi Montero 3.8 Mivec,15850000,130.000 km,Automática,Bencina
2017 Ford F-150 5.0 Double Cab Lariat Sport 4WD,32000000,63.000 km,Automática,Bencina
2018 Mercedes-Benz C 63 Amg 4.0 Mercedes-AMG C63 Auto,59900000,55.000 km,Automática,Bencina
2018 Subaru Forester AWD,18990000,25.200 km,Manual,Bencina
2010 Kia Cerato 1.6 EX Manual DH AC DAB,7000000,199.500 km,Manual,Bencina
2018 Ford Ecosport 1.5 Manual Titanium,15990000,41.120 km,Manual,Bencina
2014 Kia Rio 4,8500000,108.528 km,Manual,Bencina
2015 Mercedes-Benz Cla 250,20500000,69.000 km,NA,NA
2018 Ford F-150 5.0 Double Cab Lariat Luxury 4WD,34500000,60.000 km,Automática,Bencina
2017 Foton Ft-500 2.8 Manual Diesel STD,11500000,60.000 km,Manual,Diesel
2014 Mazda Cx-5 2.0 Skyactiv R,12990000,130.000 km,Manual,Bencina
2006 Hyundai Elantra FL 1.8 GLS AT AC,5700000,117.893 km,Automática,Bencina
2018 Great Wall VOLEEX C30 1.5 ELITE,7190000,70.000 km,Manual,Bencina
2017 Hyundai Tucson 2.0 Auto CRDI GL Advance Nav,18990000,83.173 km,Automática,Diesel
2014 SUBARU LEGACY XS AWD CVT 2.0 R,14290000,66.000 km,Automática,Bencina
2010 Porsche Cayenne 4.8 V8 Turbo Tiptronic,30000000,150.000 km,Automática,Bencina
2014 Subaru Outback 2.5I CVT X 4WD,13300000,115.000 km,Automática,Bencina
2020 Peugeot 208 1.2 Puretech 82HP Signature,9280000,NA,Manual,Bencina
2010 Chevrolet Cruze 1.8,5490000,159.537 km,Manual,Bencina
