Nombre,Precio,kilometraje,Transmisión,Combustible
2012 Jeep Wrangler,26950000,120.000 km,Automática,Diesel
2006 Suzuki Grand Nomade,7200000,204.000 km,Automática,Bencina
2017 Kia Frontier 25,17490000,130.000 km,Manual,Diesel
2017 Peugeot 3008 1.6 THP 165 Auto GT Line,20990000,60.000 km,Automática,Bencina
2016 Hyundai Tucson 2.0 CRDI GL Advance Nav,17890000,100.000 km,Manual,Diesel
2012 SsangYong Actyon Sports 2.0D LL ABS 2AB Semi Full,9550000,149.000 km,Manual,Diesel
2019 Chevrolet Tahoe 5.3 LT Auto 4WD,39000000,26.000 km,Automática,Bencina
2008 Peugeot 206 X-LINE 3P 1.6 AA,4100000,154.000 km,Manual,Bencina
2017 Hyundai Hd35 HD35,23500000,83.400 km,Manual,Diesel
2012 Kia Morning 1.0 LX,6390000,128.000 km,Manual,Bencina
2014 Foton Terracota 2.8 Diesel,9500000,152.000 km,Manual,Diesel
2021 Mercedes-Benz Glc Coupe 2.1 GLC 220 D Auto 4Matic,51000000,14.700 km,Automática,Diesel
2014 Citroën C3 1.4 HDI Seduction,8500000,150.000 km,Manual,Diesel
2015 Volkswagen The Beetle,13000000,90.000 km,Manual,Bencina
2013 Peugeot 3008,9690000,150.000 km,Manual,Diesel
2020 Chevrolet Prisma 1.4 LTZ,10790000,18.300 km,Manual,Bencina
HYUNDAI TUCSON 2015 NEW TUCSON GL 2.0,15490000,105.319 km,Manual,Bencina
2003 Chrysler Pt Cruiser,4500000,160 km,Automática,Bencina
2018 Jaguar F-Pace 2.0D Prestige Auto 4WD,38900000,57.900 km,Automática,Diesel
2011 Hyundai I10,5100000,99.500 km,Manual,Bencina
2015 Mazda Cx-5 2.5 Skyactiv GT Auto 4WD,18490000,80.000 km,Automática,Bencina
2015 SsangYong Actyon Sports 2.0D,13990000,130.000 km,Manual,Diesel
2018 Ford F-150 5.0 Double Cab XLT 4WD,29250000,66.000 km,Automática,Bencina
2020 Mazda 3 Sport,19900000,36.000 km,Automática,Bencina
2012 Audi A1,9200000,111.000 km,Automática,Bencina
2012 Mercedes-Benz Gl 450 4.7 GL 450,28500000,76.000 km,Automática,Bencina
2015 Chevrolet Suburban,29850000,105.000 km,Automática,Bencina
2020 Chevrolet Silverado 5.3 Auto LT Trail Boss DC 4WD,41000000,30.000 km,Automática,Bencina
2013 Mercedes-Benz A 200 1.6 A 200 Blue Efficiency,15300000,120.000 km,Manual,Bencina
1982 Mercedes-Benz 280 Ce,18500000,150.000 km,Automática,Bencina
2016 Chevrolet Sonic 1.6,6800000,152.000 km,Manual,Bencina
2020 Ford F-150 3.5 Platinum Auto Ecoboost 4WD,40000000,20.000 km,Automática,Bencina
2007 Hyundai Terracan,7280000,160.000 km,Automática,Diesel
1990 Jaguar Xj,11750000,160.000 km,Automática,Bencina
2014 BMW 135,19500000,105.000 km,Automática,Bencina
2013 Ford Focus,10500000,50.600 km,Automática,Bencina
2014 Hyundai I30 1.6 GLS GD 2AB,9500000,102.335 km,Manual,Bencina
