Nombre,Precio,kilometraje,Transmisión,Combustible
2016 Peugeot 3008,13850000,80.717 km,Manual,Diesel
2020 Nissan X-Trail SENSE,19980000,17.800 km,Automática,Bencina
2016 Hyundai Veloster 1.6 GLS Premium,18990000,21.000 km,Manual,Bencina
2020 PEUGEOT 308 1.5 BlueHDI 130 HP Auto Feline,18590000,1 km,Automática,Diesel
1996 Peugeot 505,1000000,210.000 km,Automática,Bencina
2019 SsangYong Korando 2.2D Manual Std Full KD2111,19800000,49.631 km,Manual,Diesel
2014 Renault Megane III,7800000,142.000 km,Automática,Bencina
2018 Nissan Np300 2.3 Manual DSL SE 4WD,23980000,68.000 km,Manual,Diesel
2015 Volvo Xc60 D5 AWD R-DESIGN,24500000,89.000 km,Automática,Diesel
2018 Toyota Yaris Sport,10990000,30.000 km,Manual,Bencina
2017 Mitsubishi L200 2.4 TD Manual Work CD CR WF,16900000,100.000 km,Manual,Diesel
2019 Peugeot Tepee,17300000,27.000 km,Manual,Diesel
2019 Nissan Kicks 1.6 Manual Sense,13000000,49.000 km,Manual,Bencina
2018 Ford F-150 5.0 Double Cab Lariat Luxury 4WD,33000000,40.200 km,Automática,Bencina
2016 Fiat 500,9490000,50.000 km,Manual,Bencina
2011 Chevrolet Spark Gt HB LT 1.2,4990000,88.000 km,Manual,Bencina
2014 Ford Ecosport 1.6 Titanium,8990000,77.771 km,Manual,Bencina
2010 Ford Focus 1.6 CLX 5P,4190000,200.000 km,Manual,Bencina
2016 Opel Astra II Enjoy Turbo,12800000,50.500 km,Automática,Bencina
2012 Citroën C3,6500000,105.000 km,Manual,Bencina
2019 Kia Cerato 5 1.6 SX Manual,15000000,49.000 km,Manual,Bencina
2018 BMW NINE T NINE T,13500000,8.078 km,Manual,Bencina
2014 Volvo V40,12990000,140.000 km,Automática,Diesel
2019 MG Mg Gt 1.4T COM,9000000,25.000 km,Manual,Bencina
2017 Toyota Hilux 2.4D DX,18990000,194.250 km,Manual,Diesel
2013 BMW 335 3.0 335CiA,19500000,107.000 km,Automática,Bencina
2010 Mercedes-Benz E 500 5.5 E 500 Elegance,14990000,221.874 km,Automática,Bencina
"2014 Mazda BT-50 DCAB DX 4X4 2,2",17690000,157.200 km,Manual,Diesel
2016 Kia Morning 1.2 EX Sport,7290000,109.000 km,Manual,Bencina
2014 Ford ESCAPE S 2.5CC AT 4X2 A/C,12490000,107.000 km,Automática,Bencina
2019 Land Rover Discovery Sport 2.0 AWD AUT,32970000,46.176 km,Automática,Bencina
2019 Nissan March,8700000,18.000 km,Manual,Bencina
2011 Toyota LANDCRUISER PRADO TX 4X4 AUT,20990000,109.000 km,Automática,Bencina
2018 Aston Martin Db11,144900000,7.010 km,Automática,Bencina
2016 Jac S3 ADVANCE 1.5 MEC,8590000,98.000 km,Manual,Bencina
2019 Jeep Wrangler 3.6 Sport Auto 4WD,29990000,62.000 km,Automática,Bencina
2014 Hyundai I10,6200000,56.700 km,Manual,Bencina
2016 Toyota Rav4 RAV 4 2.0 AUT,18490000,42.650 km,Automática,Bencina
2016 Porsche Cayenne,33990000,69.000 km,Automática,Bencina
2017 Chevrolet Sail 1.4 Classic,7200000,43.000 km,Manual,Bencina
2011 Volvo Xc60 2.0T 2WD,11500000,107.000 km,Automática,Bencina
2017 Nissan Np300 2.3 Manual DSL SE 4WD,16500000,144.400 km,Manual,Diesel
2017 Subaru Xv 1.6i Manual 4WD,15480000,114.000 km,Manual,Bencina
2019 Porsche 911 CARRERA 4S 992 IMPECABLE,106990000,20.000 km,Automática,Bencina
2015 Suzuki Kizashi 2.4 GLX Limited CVT,10950000,118.000 km,Automática,Bencina
2018 SsangYong Actyon Sports 2.0D Manual Std NAS610,19990000,14.241 km,Manual,Diesel
2011 Suzuki Swift,5980000,138.000 km,Manual,Bencina
2005 Volkswagen Polo 1.6 Sedan,3650000,255.000 km,Manual,Bencina
2016 Ford F-150 3.5 Platinum Auto Ecoboost 4WD,32600000,76.200 km,Automática,Bencina
2016 Land Rover Range Rover Sport,48700000,101.000 km,Automática,Bencina
2018 Mercedes Benz GLC 43 AMG AMG,46990000,45.000 km,Automática,Bencina
2019 Porsche CAYENNE V6 E3,56890000,3.500 km,Automática,Bencina
2019 Peugeot 3008 PEUGEOT,22490000,40.090 km,Manual,Diesel
2018 Chevrolet Colorado 2.8TD Auto LTZ 4WD,23000000,67.000 km,Automática,Diesel
2005 KIA CERATO EX 1.6,3990000,194.876 km,Manual,Bencina
2011 Mitsubishi Asx 2.0 2WD GLX,9980000,163.000 km,Manual,Bencina
SUZUKI CELERIO 2019 GLX SPORT HB 1.0,8490000,55.302 km,Manual,Bencina
2015 Kia Grand Carnival,15500000,220.000 km,Automática,Diesel
2012 Audi A5,15000000,106.000 km,Automática,Bencina
2011 Hyundai Elantra HD 1.6 GLS AA 2AB,5500000,240 km,Manual,Bencina
2015 Peugeot 301 FEELINE 1.6 MT DIESEL,11700000,62.000 km,Manual,Diesel
2011 Dodge Dakota 3.7 Quad Cab Laramie 4X4 Auto,14980000,97.000 km,Automática,Bencina
2016 Peugeot 208 1.6 HDI 92 HPActive Pack,9700000,84.000 km,Manual,Diesel
2013 Volkswagen Amarok 2.0 TDI Highline 4WD,10000000,120.000 km,Manual,Diesel
2011 Kia Rio Jb,5100000,128.000 km,Manual,Bencina
2014 Nissan Sentra 1.8 Sense,7500000,120.000 km,Manual,Bencina
2013 Nissan Juke 1.6 CVT Base,11000000,99.000 km,Automática,Bencina
2009 Land Rover Range Rover,18900000,208.000 km,Automática,Bencina
2013 Chevrolet Sonic 1.6,7700000,102.000 km,Manual,Bencina
2019 Mahindra Scorpio,15500000,59.000 km,Manual,Diesel
