Nombre,Precio,kilometraje,Transmisión,Combustible
2019 Great Wall Voleex C30,8700000,60.000 km,Manual,Bencina
2015 MINI Paceman PACEMAN,15990000,75.000 km,Manual,Bencina
2019 Peugeot 2008 1.6 BlueHDI 100 HP Active,15000000,32.000 km,Manual,Diesel
CHEVROLET CAVALIER 2019 1.5 AUTO PREMIER,13380000,54.900 km,Automática,Bencina
2015 Opel Antara 2.2 CDTI Cosmo 4WD Auto,7950000,126.000 km,Automática,Diesel
2013 Volvo V60 2.0 T5 Plus,13990000,89.000 km,Automática,Bencina
2012 Mazda Cx-7,10100000,133.000 km,Automática,Bencina
2013 Audi S5 SPORTBACK TFSI 3.0 AUT,19900000,90.000 km,Automática,Bencina
2017 MG Mg3 1.5 Comfort Plus,7450000,66.000 km,Manual,Bencina
2016 Kia Morning 1.2 EX DH DAB AC,7290000,119.000 km,Manual,Bencina
2019 Opel Mokka X 1.4 Turbo Auto Innovation,18000000,40.000 km,Automática,Bencina
2015 Peugeot 3008,13800000,165.000 km,Automática,Diesel
2016 BMW 120 1.6 120i A,19900000,58.250 km,Automática,Bencina
2017 Chery Tiggo 3 1.6 GLX,9500000,60.000 km,Manual,Bencina
2014 VOLKSWAGEN TIGUAN 1.4 TSI BM Comfortline,13890000,109.000 km,Manual,Bencina
2012 Chrysler 200 3.6 Auto,11590000,72.000 km,Automática,Bencina
2016 Hyundai Accent 1.4 RB GL AC 2AB,9500000,86.640 km,Manual,Bencina
2018 Brilliance Mini Bus 2.8 2HL,15500000,149.000 km,Manual,Diesel
2012 SsangYong Actyon Sports 2.0 4x4 Full,10490000,274.548 km,Manual,Diesel
2008 Suzuki Grand Nomade,10000000,164.000 km,Automática,Bencina
2015 Suzuki Apv Minivan 1.6 GL,8500000,183.000 km,Manual,Bencina
2012 Nissan Terrano,11000000,225.000 km,Manual,Diesel
2016 Great Wall Wingle 6 2.0 Diesel Elite 4WD,12590000,101.000 km,Manual,Diesel
2018 Subaru Impreza 2.0i CVT Auto XS Sport 4WD,15700000,27.000 km,Automática,Bencina
2016 Great Wall Haval 5 2.4 LX 4X4,9700000,55.000 km,Manual,Bencina
2011 Peugeot Partner 1.6 HDI 90HP Maxi AB AA,7990000,161.200 km,Manual,Diesel
2022 Ford Ranger Raptor,41990000,NA,Automática,Diesel
2015 Suzuki Swift 1.2 GL DZire NB,7850000,93.500 km,Manual,Bencina
2014 Toyota Tundra 5.7 Dc Auto 4WD,23500000,108.000 km,Automática,Bencina
2017 Chevrolet Cruze LS 1.5 Turbo,13200000,54.344 km,Manual,Bencina
2017 Nissan QASHQAI 2.0 EXCLUSIVE CVT 4X4 AT 5P,17990000,41.063 km,Automática,Bencina
1983 Mercedes-Benz 230,12470000,150.000 km,Manual,Bencina
2019 Mercedes-Benz Gla 200 1.6 GLA 200 DCT Auto,24590000,16.079 km,Automática,Bencina
2011 Land Rover Freelander,13690000,123.000 km,Automática,Bencina
2007 Hyundai Santa Fe,9500000,230.000 km,Automática,Diesel
2017 Peugeot Partner 1.6 HDI L1 90HP Manual Pack AA,10700000,82.000 km,Manual,Diesel
2011 Hyundai Getz FL 1.4 GL 2AB,5990000,106.000 km,Manual,Bencina
2015 BMW 435 M,28500000,23.850 km,Automática,Bencina
2014 Audi A3 ATTRACCTION TFSI 1.4,13600000,117.000 km,Automática,Bencina
2016 SsangYong Actyon Sports 2.0D LL ABS 2AB NAS612,13480000,110.000 km,Manual,Diesel
2021 FORD F-150 5.0 Double Cab Lariat Sport 4WD,46990000,9.462 km,Automática,Bencina
2012 Nissan Murano 3.5 Auto,14300000,161.500 km,Automática,Bencina
2017 Audi A3 1.4 TFSI Stronic Auto Sportback,17390000,63.000 km,Automática,Bencina
2020 Peugeot 301 1.6 HDI Active,12990000,26.858 km,Manual,Diesel
2000 Renault Clio 2 RN,1600000,295.200 km,Manual,Bencina
2013 Volkswagen Golf,9000000,82.000 km,Automática,Bencina
2019 Nissan Versa 1.6 Manual Sense,10590000,39.105 km,Manual,Bencina
2020 Dfm Joyear S50 Luxury 1.5,7580000,43.000 km,Manual,Bencina
CHERY TIGGO 2 2017 1.5 GL,10280000,76.000 km,Manual,Bencina
2014 NISSAN TIIDA 1.6 S,7990000,26.549 km,Manual,Bencina
2000 Chevrolet Corsa Corsa Extra 1.6,2800000,265.000 km,Manual,Bencina
2014 Dodge Ram 1500,20500000,169.000 km,Automática,Bencina
2009 Ford Explorer XLT 4X2,8990000,169.000 km,Automática,Bencina
2009 SKODA Fabia 1.6 Ambiente ABS,5800000,158.000 km,Manual,Bencina
2016 Ford Fusion 2.0 ECOBOOST AT,14980000,103.200 km,Automática,Bencina
2017 Audi A3 1.4 TFSI Stronic Auto,18500000,75.000 km,Automática,Bencina
2021 Peugeot 308 1.5 BlueHDI Auto 130 HP Allure Pack,19700000,5.000 km,Automática,Diesel
2012 Volkswagen Polo 1.6 Comfortline GTS,8000000,84.000 km,Manual,Bencina
2012 Toyota Rav4,10500000,96.000 km,Manual,Bencina
2021 Jmc Vigus 2.4 Diesel,12790000,NA,Manual,Diesel
2017 Nissan Pathfinder,23800000,40.000 km,Automática,Bencina
2005 Chevrolet Aveo 1.4 Ls 16v,4200000,57.000 km,Manual,Bencina
2018 Hyundai Grand I10,7490000,87.000 km,Manual,Bencina
2018 Chevrolet Prisma 1.4 LTZ,8980000,68.310 km,Manual,Bencina
CHEVROLET SPARK 2020 GT,10180000,30.000 km,Manual,Bencina
2018 BMW 118 2.0 118D A M Sport 5P,21800000,55.728 km,Automática,Diesel
2013 Ford F-150 FORD F150 LARIAT FULL 4X4 CONVERSION A GAS,23490000,219.000 km,Automática,Gas
2013 Hyundai I10 1.2 F/L GLS AC,6990000,92.000 km,Manual,Bencina
2021 Citroën C-ELYSEE Shine Diesel Maximo Equipo,12690000,1 km,Manual,Diesel
2013 Byd F0,3900000,120.000 km,Manual,Bencina
2015 Citroën Berlingo 1.6 HDI VU BVM5 AA 2AB Corto,9300000,216.000 km,Manual,Diesel
2019 Peugeot Partner 1.6 HDI L1,14980000,30.172 km,Manual,Diesel
2017 Ford F-150 3.5 Raptor Auto Ecoboost 4WD,45900000,115.000 km,Automática,Bencina
2014 Fiat Grande Punto 1.4 LL,6690000,150.000 km,Manual,Bencina
2016 Ford Explorer 2.3 Limited Ecoboost Auto,24990000,76.000 km,Automática,Bencina
2017 Mercedes-Benz E 43 Amg 3.0 Mercedes-AMG E 43 Auto 4Matic,36900000,60.900 km,Automática,Bencina
2008 Ford Explorer XLT COMFORT 4X2,8800000,150.000 km,Automática,Bencina
2021 Land Rover Defender 2.0 300 Hp S Auto 4WD USD,89900000,13.500 km,Automática,Bencina
2005 Toyota Yaris 1.5 XLi Ecco Std,3950000,100.000 km,Manual,Bencina
SUZUKI VITARA 2016 VITARA GLS 1.6 AUT,13990000,107.712 km,Automática,Bencina
2006 Fiat Palio FIRE 16V ELX SPORT,3300000,194.000 km,Manual,Bencina
2013 Nissan Qashqai 1.6 4x2,9700000,164.000 km,Manual,Bencina
2013 Volkswagen Gol 1.6 Power AA,6990000,108.000 km,Manual,Bencina
2018 Hyundai Accent 1.6 RB Manual GL Full,11250000,31.000 km,Manual,Bencina
2013 Mercedes-Benz B 180,13850000,130.000 km,Manual,Bencina
2013 Mitsubishi L200,11800000,300.000 km,Manual,Diesel
2019 Ford Explorer 2.3 Ecoboost Auto,27990000,27.000 km,Automática,Bencina
2015 Citroën C4 1.6 HDI Seduction,10500000,70.000 km,Manual,Diesel
2018 Suzuki Celerio,8190000,26.000 km,Automática,Bencina
2011 BMW 325 325iA,12000000,130.000 km,Automática,Bencina
2017 Mercedes-Benz C 200,27000000,48.000 km,Automática,Bencina
2013 Land Rover Range Rover Sport 3.0,30000000,119.000 km,Automática,Diesel
2017 Kia Cerato 1.6 EX Auto,13500000,60.000 km,Automática,Bencina
2006 Toyota Yaris 1.3 XLi Sport DH 2AB,4690000,370.000 km,Manual,Bencina
2001 Renault Scénic RXE 2.0,2490000,166.000 km,Manual,Bencina
2017 Nissan Versa 1.6 Manual Sense,8790000,72.000 km,Manual,Bencina
2012 Ford F-150 6.2 SVT Raptor Super Crew Auto 4X4,27900000,180.000 km,Automática,Bencina
2019 Peugeot 308 1.5 BlueHDI Auto 130 HP Manual Allure,17200000,65.000 km,Automática,Diesel
2020 PEUGEOT 308 1.5 BlueHDI 130 HP Auto Feline,18690000,27.827 km,Automática,Diesel
2013 Ford Explorer 3.5 Limited Auto 4WD,19490000,143.068 km,Automática,Bencina
