Nombre,Precio,kilometraje,Transmisión,Combustible
2018 Audi A1 1.4 TFSI Stronic Auto,15980000,52.000 km,Automática,Bencina
2019 Mazda Bt-50 2.2 DSL Manual SDX Hi Rider,21000000,100.000 km,Manual,Diesel
2011 Mitsubishi L300 2.0 Furgon Gasolina,8600000,135.000 km,Manual,Bencina
2014 Chevrolet Camaro 3.6 RS,40000000,7.476 km,Manual,Bencina
1988 Volkswagen Combi,7000000,100 km,Manual,Bencina
2014 Peugeot 208,8100000,113.500 km,Manual,Diesel
2018 Peugeot 2008,17000000,27.600 km,Manual,Diesel
2018 Chevrolet Sail 1.5 LS,9500000,22.000 km,Manual,Bencina
2015 Toyota 4Runner 4.0 Limited Auto 4WD,25290000,115.690 km,Automática,Bencina
2019 FORD ECOSPORT 1.5 Manual S,17990000,29.992 km,Manual,Bencina
2017 Baic X25 1.5 Manual Comfort,7900000,15.800 km,Manual,Bencina
2010 Peugeot 207 Xs line 1.6,4690000,118.000 km,Manual,Bencina
2016 Fiat Strada 1.4 Manual Trekking,8500000,220 km,Manual,Bencina
2015 Volvo S60 1.6 D2 Comfort Powershift,11000000,183.212 km,Automática,Diesel
2019 Hyundai Accent 1.6 RB Manual GL Full,11600000,48.500 km,Manual,Bencina
2019 Ford Explorer,26700000,40.000 km,Automática,Bencina
INFINITI Q60 2013 FX37 3.7 AUT,18490000,1 km,Automática,Bencina
2017 Renault Koleos 2.5 Dynamique Auto,17990000,56.000 km,Automática,Bencina
2017 Renault Dokker 1.5 DCI Manual AC 2AB ESP,7990000,205.000 km,Manual,Diesel
2016 Kia Morning 1.0 LX DH,5790000,98.000 km,Manual,Bencina
2016 Kia Rio 5 1.4 EX Manual,5200000,70.000 km,Manual,Bencina
2015 BMW 235,25500000,80.000 km,Automática,Bencina
2020 Peugeot 5008 1.5 BlueHDI 130 HP Auto Active,20380000,NA,Automática,Diesel
2017 Volkswagen Polo 1.6 Manual Highline,8600000,71.900 km,Manual,Bencina
2016 Audi Q7 3.0 TDI Quattro Tiptronic,31990000,126.000 km,Automática,Diesel
1997 Mercedes-Benz C 220,3000000,200.000 km,Automática,Bencina
2005 Hyundai Tucson,6900000,211.000 km,Automática,Bencina
2010 Ford Explorer,8990000,196.000 km,Automática,Bencina
2014 Toyota Yaris Sport 1.3 Sport GLI 5P,8890000,88.000 km,Manual,Bencina
2011 Mercedes Benz ATEGO 1518,25000000,175.400 km,Manual,Diesel
2014 Volkswagen Gol 1.6 Trendline 2AB ABS,6800000,53.000 km,Manual,Bencina
2013 Ford F-150,19890000,180.000 km,Automática,Bencina
2016 Volkswagen Golf MSI 1.6 Automático,15000000,60.000 km,Automática,Bencina
2012 Toyota Land Cruiser Prado 2.7 TX-L 3P Auto 4WD,16800000,120.000 km,Automática,Bencina
2005 Subaru 2.0,6600000,162.000 km,Automática,Bencina
2003 Chevrolet Corsa SWING DH,3450000,177.000 km,Manual,Diesel
2019 Nissan Np300,21500000,120.000 km,Manual,Diesel
2016 Suzuki Jimny,9999999,50.500 km,Manual,Bencina
2009 Kia Sorento 3.3 LX GSL Auto 4X4,9500000,137.465 km,Automática,Bencina
2012 Nissan Versa 1.6 Advance,7300000,90.300 km,Manual,Bencina
2018 Dfm Joyear X3 1.6 Manual Luxury,6600000,32.700 km,Manual,Bencina
2021 Foton Midi Doble Cabina FOTON MIDI 1.5 PLUS DOBLE CABINA,9290000,NA,Manual,Bencina
2009 Chevrolet Corsa 1.6 NB DH,3900000,120.000 km,Manual,Bencina
