Nombre,Precio,kilometraje,Transmisión,Combustible
2009 Ford Ranger XLT 4X4 2.5L DSL,9800000,249.000 km,Manual,Diesel
2012 Mazda Cx-7,9800000,103.083 km,Automática,Bencina
2013 Jaguar Xj JAGUAR XJ 5.0,33500000,70.000 km,Automática,Bencina
2020 Nissan Versa 1.6 Manual Sense,10490000,1 km,Manual,Bencina
2012 Kia Sportage 2.0 LX AC DAB,11200000,150.000 km,Manual,Bencina
2017 Citroën Berlingo 1.6 Manual HDI VU BVM5 AA 2AB Corto,9990000,96.000 km,Manual,Diesel
2002 Chevrolet Silverado RC,8480000,247.000 km,Automática,Bencina
2003 Nissan Skyline,12500000,63.000 km,Automática,Bencina
2015 Suzuki Sx4 1.6 Crossover AC,7480000,129.000 km,Manual,Bencina
2018 Subaru New XV,17500000,32.000 km,Automática,Bencina
2018 Suzuki Swift 1.2 Manual GLS,8590000,36.000 km,Manual,Bencina
2009 Porsche 911,42990000,48.000 km,Automática,Bencina
2015 Hyundai Accent 1.6 RB GLS AC 2AB ABS,8250000,132.246 km,Manual,Bencina
2019 Citroën C3,14500000,19.120 km,Manual,Diesel
2021 Volkswagen T-Cross 1.6 Comfortline,18300000,4.000 km,Manual,Bencina
2019 Renault Clio 0.9T Manual Dynamique Rojo,12250000,28.900 km,Manual,Bencina
2018 Kia Morning,7500000,40.000 km,Manual,Bencina
2015 Volkswagen Caddy,7990000,92.000 km,Manual,Diesel
2019 Chevrolet Prisma 1.4 LTZ,9300000,57.050 km,Manual,Bencina
2016 FORD FIESTA 1.6 SE,10590000,79.100 km,Manual,Bencina
2013 Chevrolet Carry All Sail,4500000,140.000 km,Manual,Bencina
2013 Zna Succe CONSULTA POR FINANCIAMIENTO,6790000,1 km,Manual,Bencina
2017 Toyota Rav4 2.0 Manual Lujo,18290000,42.443 km,Manual,Bencina
2011 Mercedes-Benz E 250 1.8 E 250 Turbo Elegance,12850000,142.000 km,Automática,Bencina
2011 Volkswagen Gol 1.6 Trendline,5000000,96.000 km,Manual,Bencina
2005 Renault Scenic II Scenic privilege 1.6,3700000,130.000 km,Manual,Bencina
2016 Kia Morning 1.2 Non Stop,7790000,16.000 km,Manual,Bencina
MAZDA 6 2016 NEW 6 2.0 AUT,16990000,60.000 km,Automática,Bencina
2018 Toyota Hilux 2.4D Manual DX 4WD,18000000,78.000 km,Manual,Diesel
2020 Mercedes Benz S 560 MAYBACH,134990000,3.100 km,Automática,Bencina
2014 Mercedes-Benz Sprinter 515,21900000,290.000 km,Manual,Diesel
2015 Peugeot 508 2.0 HDI Auto Allure,12990000,193.000 km,Automática,Diesel
2017 Suzuki Grand Nomade 2.4 Auto GLX Sport,14500000,40.000 km,Automática,Bencina
2011 Samsung Sm3 SE 1.6,4900000,172.000 km,Manual,Bencina
2019 Suzuki Alto 0.8 800 Manual DLX AC 2AB,5650000,65.000 km,Manual,Bencina
2013 Hyundai Santa Fe,16000000,91.000 km,Automática,Bencina
2020 Ford F-150 3.3 XLT Double Cab,32490000,17.500 km,Automática,Bencina
2002 Nissan X-Trail,8000000,290.000 km,Automática,Bencina
2017 Chevrolet Tracker 1.8 LT ML,13590000,50.000 km,Manual,Bencina
2013 Suzuki Celerio 1.0 GA,5290000,120.000 km,Manual,Bencina
2019 Opel Astra 1.4 Turbo,13500000,44.000 km,Automática,Bencina
2016 Volvo V60 Cross Country,19000000,72.380 km,Automática,Bencina
2014 Toyota Yaris 1.5 XLI,12000000,315.030 km,Manual,Bencina
2017 Ford Fiesta Hb,9150000,59.000 km,Manual,Bencina
2012 Citroën C3 1.4 Seduction Plus,7490000,155.000 km,Manual,Bencina
2017 Renault Koleos 2.5 CVT XTtronic Dynamique,15900000,38.000 km,Automática,Bencina
1962 Ford Falcon,8900000,60.000 km,Manual,Bencina
2011 Volkswagen Gol,5300000,180.000 km,Manual,Bencina
2018 Mitsubishi L200 2.4 Manual TD Katana CD CR,17680000,112.000 km,Manual,Diesel
2016 Jeep Wrangler 3.6 Unlimited Sport Auto 4WD,30990000,96.800 km,Automática,Bencina
2012 Volkswagen Tiguan,13500000,105.000 km,Automática,Bencina
2018 Peugeot 208 1.6 BlueHDI 100 HP Auto Allure Pack,6800000,120 km,Manual,Diesel
2012 Land Rover Discovery,21500000,191.000 km,Automática,Bencina
2014 Suzuki Grand Vitara,11500000,150.000 km,Manual,Bencina
2018 BMW M2,44990000,35.791 km,Automática,Bencina
2013 Jeep Compass,11000000,180.000 km,Automática,Bencina
2015 Subaru Outback Premium cvt,18890000,90.000 km,Automática,Bencina
2012 BMW 116I,10400000,157.000 km,Manual,Bencina
2017 Nissan Qashqai SENSE 2.0,15500000,73.220 km,Manual,Bencina
2016 Suzuki Grand Vitara,10490000,105.000 km,Manual,Bencina
2010 Suzuki Jimny,6200000,174.600 km,Manual,Bencina
2014 Suzuki Dzire,6500000,50.000 km,Manual,Bencina
2015 Volvo S60 1.6 D2 Comfort Powershift,14500000,148.000 km,Automática,Diesel
2019 Hyundai Accent 1.4 RB Manual GL AC 2AB,10000000,34.900 km,Manual,Bencina
2004 Fiat Palio,3200000,NA,Manual,Bencina
2019 Ford Ranger 3.2 DSL Auto XLT 4WD,26500000,72.000 km,Automática,Diesel
2015 Citroën C4 Picasso,12290000,124.000 km,Manual,Diesel
2016 Kia Morning,6900000,25.000 km,Manual,Bencina
2013 Chevrolet Colorado 2.9 Z85 Auto 4x2,15000000,153.274 km,Automática,Bencina
2018 Mitsubishi L200 2.4 Manual TD Katana CD CR,18790000,1.111 km,Manual,Diesel
2019 Nissan Np300 2.3 Manual DSL XE,22300000,84.000 km,Manual,Diesel
2017 Citroën C4 Cactus,13000000,57.000 km,Manual,Bencina
2010 Volvo S40 T5 Turbo,10000000,100.000 km,Automática,Bencina
2014 Land Rover Evoque PRESTIGE 2.0,25280000,117.500 km,Automática,Bencina
2018 Chevrolet Prisma 1.4 LTZ,9200000,34.000 km,Manual,Bencina
2018 Nissan March único dueño,7990000,44.500 km,Manual,Bencina
2019 Porsche Cayenne 4.0 V8 Turbo Triptonic 4WD,83990000,17.000 km,Automática,Bencina
2017 Nissan Qashqai,14990000,49.100 km,Manual,Bencina
2011 Nissan Murano,11400000,98.000 km,Automática,Bencina
2007 Volvo V70 statin wagon,5980000,230.000 km,Automática,Bencina
FORD FOCUS 2015 FOCUS 2.0,10090000,71.500 km,Manual,Bencina
2012 Subaru Forester 2.0 5D Auto AWD XS,11300000,147.000 km,Automática,Bencina
2011 Hyundai Tucson GL,10000000,187.000 km,Manual,Bencina
2020 Changan Cx70 1.6 Luxury Connect,12690000,17.000 km,Manual,Bencina
2017 SsangYong Rexton W 2.2D Auto Full 4WD,16990000,70.000 km,Automática,Diesel
2012 Mahindra Pick Up 4x4,5000000,115.000 km,Manual,Diesel
2012 Honda Accord 2.4 EX-L Auto,7990000,200.000 km,Automática,Bencina
2017 Chevrolet D-Max,19000000,95.000 km,Manual,Diesel
2019 Volkswagen VOYAGE POWER 1.6 MT,8990000,41.267 km,Manual,Bencina
2017 Subaru Forester,20000000,66.000 km,Automática,Diesel
2009 Nissan Murano,8500000,160.000 km,Automática,Bencina
2021 Mercedes-Benz Gle 300 D 4MATIC 2.0 AUT,60900000,7.000 km,Automática,Diesel
2009 Chery Face,3980000,64.000 km,Manual,Bencina
2008 Toyota Rav4 2.4 4x2,8250000,160.000 km,Manual,Bencina
2017 Nissan Juke 1.6 Turbo Exclusive,13890000,32.500 km,Manual,Bencina
2014 Renault Megane III,7890000,110.000 km,Manual,Bencina
2018 Volkswagen Virtus 1.6 Manual Highline,11990000,29.000 km,Manual,Bencina
2013 Nissan Terrano 2.5TD AXS CD LL 4X2,10600000,221.000 km,Manual,Diesel
2013 Toyota Auris 1.6 LEI AA,9600000,63.000 km,Manual,Bencina
2017 BMW M235i M,31000000,15.700 km,Automática,Bencina
