Nombre,Precio,kilometraje,Transmisión,Combustible
2019 Ford Fiesta Hb,10500000,30.000 km,Manual,Bencina
2007 Fiat Palio,3500000,98.000 km,Manual,Bencina
2015 Ford Edge 2.0 SEL Ecoboost Auto,15500000,71.000 km,Automática,Bencina
2014 MINI Cooper 1.6 SALT HB 1.6,12500000,115.000 km,Manual,Bencina
2017 Hyundai SANTA FE GLS CRDI 2.2,21990000,119.000 km,Manual,Diesel
2021 Volkswagen Amarok 2.0 TDI Highline Auto 4WD,38500000,4.000 km,Automática,Diesel
2014 Audi A1 1.4 TFSI S-Tronic S Line,12800000,120.000 km,Automática,Bencina
2015 Mercedes-Benz Glk 220 2.1 GLK 220 CDI BlueEff. 4Matic,22500000,180.000 km,Automática,Diesel
2020 Peugeot Partner 1.6 HDI L1,17190000,44.047 km,Manual,Diesel
2017 Toyota Hilux 2.4D DX,19000000,134.000 km,Manual,Diesel
2018 BMW 530 2.0 230i A Luxury,33900000,35.000 km,Automática,Bencina
2019 Mercedes-Benz Gla 200 GLA 200 HB 1.6,25980000,59.500 km,Automática,Bencina
TOYOTA COROLLA 2017 COROLLA GL 1.8,14190000,80.000 km,Manual,Bencina
2019 Ford Ranger RANGER 3.2 MT 4X4 DSL XLT,20900000,66.953 km,Manual,Diesel
2006 Toyota 4Runner,8500000,209.174 km,Automática,Bencina
2014 Citroën Jumper 2.2 HDI L2H2 AA,14800000,151.300 km,Manual,Diesel
2021 Opel Vivaro 2.0 TD 150 Hp,22250000,11.200 km,Manual,Diesel
2019 SsangYong Korando 2.0 Manual Std Manual KC1010,13900000,51.000 km,Manual,Bencina
2019 Mercedes-Benz S 560 4.0 S 560 4Matic,94890000,10.000 km,Automática,Bencina
INFINITI Q60 2013 FX37 3.7 AUT,18490000,1 km,Automática,Bencina
2013 Ford Fiesta 1.6 SES,7500000,93.000 km,Manual,Bencina
2018 Hyundai Creta,14790000,22.900 km,Automática,Bencina
2020 Ds Ds 3 Crossback 1.5 BlueHDI 100 Bastille,19500000,25.000 km,Manual,Diesel
2021 Chevrolet TRAVERSE 3.6L LT FWD,30990000,1 km,Automática,Bencina
2010 Ford Edge 3.5 SEL AWD,10200000,144.000 km,Automática,Bencina
2009 Chevrolet Zafira,6200000,150.000 km,Automática,Bencina
2007 Citroën C3 1.4 MT AC 5P,2950000,148.800 km,Manual,Bencina
2019 Ram Ram 1000 1.8 Big Horn SLT Auto DC,18900000,65.000 km,Automática,Bencina
2013 Nissan Navara 2.5 DSL LE DC,12900000,158.000 km,Manual,Diesel
