Nombre,Precio,kilometraje,Transmisión,Combustible
2017 Volkswagen Golf 1.6 MSI Manual,17800000,60.000 km,Manual,Bencina
2017 Mazda Cx-9,24000000,59.000 km,Automática,Bencina
2005 Hyundai Accent Prime,4000000,220.000 km,Manual,Bencina
2013 BMW 116 1.6 116D,14000000,95.200 km,Manual,Diesel
2012 Mercedes-Benz E 220,17990000,53.500 km,Automática,Bencina
2004 Volkswagen Golf 1.6 Comfortline,3900000,300.000 km,Manual,Bencina
2014 Chevrolet Sail 1.4,5700000,156.000 km,Manual,Bencina
2014 Chevrolet Camaro 3.6 RS,40000000,7.476 km,Manual,Bencina
2018 Land Rover Range Rover Sport 3.0 SDV6 HSE Auto 4WD,62000000,31.000 km,Automática,Diesel
2010 Peugeot 207 Xs line 1.6,4690000,118.000 km,Manual,Bencina
2012 Kia Frontier diesel,12890000,180.000 km,Manual,Diesel
2010 Peugeot 207 Compac,5200000,140.000 km,Manual,Bencina
2020 BMW NINE T NINE T,14200000,2.079 km,Manual,Bencina
2014 Mazda Cx-9 3.7 GT Auto 4WD,16990000,94.000 km,Automática,Bencina
2013 Mercedes-Benz Glk 220,20200000,157.551 km,Automática,Diesel
2010 BMW 320I SPORT 2.0 AUTO,8700000,165.000 km,Automática,Bencina
2016 Land Rover Range Rover Sport 3.0 SDV6 HSE Auto 4WD,48900000,62.000 km,Automática,Diesel
OPEL ASTRA 2014 ASTRA ENJOY 1.6,11190000,130.328 km,Manual,Bencina
2017 Mazda Cx-9 2.5 R Auto 4WD,26990000,63.744 km,Automática,Bencina
2018 Peugeot Partner 1.6 hdi,12950000,81.150 km,Manual,Diesel
2017 Renault Captur,12950000,80.000 km,Manual,Diesel
2013 Chevrolet Orlando LS 2.0,11790000,180.000 km,Manual,Diesel
2018 Ford Explorer,30500000,92.000 km,Automática,Bencina
2015 Subaru New XV,11400000,55.000 km,Automática,Bencina
1989 Chevrolet C10,12500000,150.000 km,Automática,Otros
2009 Jeep Wrangler,17000000,105.690 km,Automática,Diesel
2019 Volkswagen Amarok 2.0 TDI Highline Auto 4WD,28500000,85.000 km,Automática,Diesel
2017 Chevrolet Sonic Sail Clasic 1.4,7200000,74.500 km,Manual,Bencina
2019 Volvo Xc90 2.0 T6 R-Design Auto 4WD,48490000,42.000 km,Automática,Bencina
2014 MINI Roadster 1.6 roadster S convertibles,16800000,99.000 km,Automática,Bencina
2015 Kia Rio 5 1.4 EX Manual DAB ABS AC,8500000,76.000 km,Manual,Bencina
