Nombre,Precio,kilometraje,Transmisión,Combustible
2013 Suzuki Alto,4500000,105.000 km,Manual,Bencina
2018 Mercedes-Benz C 200 2.0 C 200 Auto,26500000,15.000 km,Automática,Bencina
2015 Volvo V40 Cross Country T4 2.0 Turbo FWD AT,15500000,71.000 km,Automática,Bencina
2014 Ford Focus SE Flex Fuel,8200000,190.000 km,Automática,Bencina
2007 Subaru Legacy 3.0R 4D 5AT AWD 3S,9500000,178.000 km,Automática,Bencina
2011 Kia Morning,4500000,155.000 km,Manual,Bencina
2019 Suzuki Swift 1.2 Manual GLX,11000000,50.000 km,Manual,Bencina
2021 KYC GRAN MAMUT PICK UP,7990000,NA,Manual,Bencina
2020 Kia Sportage 2.0 Auto DSL GTL,25950000,30.000 km,Automática,Diesel
2014 Subaru Forester Forester AWD 2.0 AT,13770000,174.148 km,Automática,Bencina
2013 Honda Civic 1.8 LX,10500000,193.800 km,Manual,Bencina
2010 Subaru New Legacy,9490000,120.000 km,Automática,Bencina
2010 Peugeot 308 SW 1.6 Confort Pack HDI,6900000,260.000 km,Manual,Diesel
2016 HYUNDAI TUCSON 2.0 GL Active,16990000,84.200 km,Manual,Bencina
2015 Mazda Cx-9 3.7 GT Auto 4WD,17500000,85.000 km,Automática,Bencina
2017 Volkswagen Polo 1.6 Manual Highline,9500000,83.500 km,Manual,Bencina
2018 Land Rover Range Rover Sport 5.0 SVR SUPERCHARGED AUTO,109970000,29.429 km,Automática,Bencina
2011 Honda Civic 1.8 EX,10500000,162.242 km,Automática,Bencina
2018 Volvo S60 POLESTAR T6 AWD,27500000,31.000 km,Automática,Bencina
2014 Opel Astra 1.6 Turbo Enjoy,10990000,102.000 km,Manual,Bencina
2015 Porsche Cayenne 3.0TD Tiptronic 4WD,35000000,75.000 km,Automática,Diesel
2008 Kia Sportage,8200000,142.300 km,Manual,Bencina
2017 Peugeot 208 164 e-HDI 92 HP MSQ6 Allure Pack,12490000,1 km,Manual,Diesel
2008 Chevrolet Optra 1.6 AC,5200000,154.000 km,Manual,Bencina
2016 Mitsubishi L200 2.4 TD Katana CD CR,17600000,80.000 km,Manual,Diesel
HYUNDAI I20 2019 IB ACTIVE HB 1.4,10350000,30.000 km,Manual,Bencina
2013 Mazda Cx-5 2.0 Skyactiv R Auto,13500000,88.000 km,Automática,Bencina
2019 Chery Tiggo 2 1.5 GLS,9480000,27.000 km,Manual,Bencina
2013 Citroën C4 1.6 120 HP Seduction SE,8990000,76.580 km,Manual,Bencina
