Nombre,Precio,kilometraje,Transmisión,Combustible
2009 Dodge Nitro SLT 3.7L V6 4X4,9000000,1.980.000 km,Automática,Bencina
1992 Porsche 911,64900000,85.000 km,Manual,Bencina
2015 Mahindra Scorpio,9500000,150.000 km,Manual,Diesel
2021 Suzuki Swift AMT 1.2,13500000,1.059 km,Automática,Bencina
2014 Ford Edge 3.5 SEL 4WD,17500000,109.209 km,Automática,Bencina
2013 Mercedes-Benz A 200 1.6 A 200 Blue Efficiency,15850000,100.000 km,Manual,Bencina
1999 Toyota Tercel 1.5 XLI,2700000,185.004 km,Manual,Bencina
2017 Jac T6 2.0 Comfort,10000000,114.000 km,Manual,Bencina
2012 Volvo V70 XC,13200000,149.000 km,Automática,Diesel
2017 Nissan Np300 2.3 Manual DSL XE 4WD,17000000,200.000 km,Manual,Diesel
2012 Toyota Tundra 5.7 Dc Auto 4WD,18600000,171.000 km,Automática,Bencina
1989 Oldsmobile Cutlass,4000000,155.000 km,Automática,Bencina
2019 Chevrolet Colorado 2.8TD Auto High Country 4WD,27000000,75.000 km,Automática,Diesel
2019 Citroën Spacetourer 2.0 BlueHDI 150 XL Business,20900000,150.000 km,Manual,Diesel
2015 Renault Dokker,8950000,93.125 km,Manual,Bencina
2015 Jeep Grand Cherokee,29000000,135.000 km,Automática,Diesel
2018 Renault Symbol 1.6 Manual Zen,8490000,20.609 km,Manual,Bencina
2017 Toyota Rush AT,12990000,41.500 km,Automática,Bencina
2018 Dfm Joyear X3 1.6 Manual Luxury,6600000,32.700 km,Manual,Bencina
2012 Toyota Rav4,10500000,96.000 km,Manual,Bencina
2020 Kia Soluto 1.4 LX AC,11490000,12.000 km,Manual,Bencina
2015 Subaru Forester 2.0 X 4WD,13790000,55.000 km,Manual,Bencina
2017 Peugeot 108,9300000,52.000 km,Manual,Bencina
2007 Mitsubishi Montero,10000000,190.000 km,Manual,Diesel
2015 Kia Carens,10500000,92.963 km,Manual,Diesel
2009 Toyota Fj Cruiser,19900000,95.000 km,Automática,Bencina
2021 Peugeot 5008 1.5 BlueHDI 130 HP Auto Active,26990000,11.200 km,Automática,Diesel
2017 Kia Rio 4 1.4 DAB 6MT,9200000,70.000 km,Manual,Bencina
2016 Mini COOPER F56 HB CLASSIC 1.5,13600000,62.023 km,Manual,Bencina
2014 Chevrolet Camaro 6.2 SS Auto,28500000,45.000 km,Automática,Bencina
2016 Hyundai Elantra 1.6 MD GLS AC 2AB,10900000,108.000 km,Manual,Bencina
2012 Hyundai Santa Fe 2.4 GLS 2WD,12990000,150.840 km,Manual,Bencina
2008 Hyundai Getz,4300000,186.262 km,Manual,Diesel
2019 Jeep Compass 2.4 Longitude Auto,19490000,56.000 km,Automática,Bencina
2014 Kia Rio 5,8500000,57.000 km,Manual,Bencina
JEEP GRAND CHEROKEE 2015 GRAND CHEROKEE LAREDO 3.6,27990000,76.900 km,Automática,Bencina
2020 Toyota Land Cruiser Prado 4.0 VX-Limited 5P Auto 4WD,41500000,18.000 km,Automática,Bencina
2016 Fiat Doblo Cargo 1.3 Manual Maxi,11490000,76.440 km,Manual,Diesel
2014 Renault Megane III,7890000,110.000 km,Manual,Bencina
2016 Hyundai Accent 1.4 RB GL 2AB,9000000,62.000 km,Manual,Bencina
2010 Mercedes-Benz E 500 5.5 E 500 Elegance,18300000,114.870 km,Automática,Bencina
2008 Suzuki Aerio 1.6 GLX,3000000,209.000 km,Manual,Bencina
2017 Toyota Rush 1.5 AUT OPORTUNIDAD,12990000,65.000 km,Automática,Bencina
2013 Volvo Xc70 D5 Turbo Plus Auto AWD,14990000,180.000 km,Automática,Diesel
2013 Mazda 2 1.5 V Auto,7800000,105.000 km,Automática,Bencina
2016 Volvo V40 Cross Country 2.0 T5 Limited Auto Cros Country 4WD,18500000,80.000 km,Automática,Bencina
2014 Mahindra Pick Up,7980000,105.000 km,Manual,Diesel
2016 Hyundai Porter,18900000,150.310 km,Manual,Diesel
2015 Nissan Navara,14400000,180.000 km,Automática,Diesel
2014 Nissan Navara Se 2.5,12300000,172.500 km,Manual,Diesel
2020 Peugeot 5008 1.5 BlueHDI 130 HP Auto8 Allure,24990000,23.000 km,Automática,Diesel
2011 Jeep Compass 2.4 Sport 4X4 Auto,10000000,105.000 km,Automática,Bencina
2009 Nissan V16 1.6 AA,7000000,180.000 km,Manual,Bencina
2014 Kia Rio 5 1.4 EX Manual AB AC,8900000,68.000 km,Manual,Bencina
2013 SsangYong Actyon Sports 2.0D Auto,11900000,112.000 km,Automática,Diesel
2010 Nissan Tiida 1.6 S,6500000,84.000 km,Manual,Bencina
2020 Hyundai GRAND I10 BA SDN MT GL 2AB PE,9480000,18.000 km,Manual,Bencina
2016 Audi Q7 2.0 TFSI Quattro Tiptronic,35900000,76.000 km,Automática,Bencina
2017 DFM A30 1.6 Mt,6990000,109.800 km,Manual,Bencina
2015 Kia Rio 5 1.4 EX Sport Manual,8990000,100.000 km,Manual,Bencina
2019 Citroën C-Elysee 1.6 Manual HDI 92 Feel,11000000,84.000 km,Manual,Diesel
2014 Audi A3 2.0 TDI S Tronic Ambition,14300000,137.000 km,Automática,Diesel
2011 Hyundai Santa Fe 2.2 GLS 4WD Auto Full,12200000,189.500 km,Automática,Diesel
2019 Porsche Macan 3.0 V6 S,50990000,26.800 km,Automática,Bencina
2012 BMW 320I,11800000,120.000 km,Automática,Bencina
2000 Chevrolet Corsa 1.6 SW STD,2700000,175.000 km,Manual,Bencina
2021 Mitsubishi L200 2.4 TD Work CD CR,21600000,8.500 km,Manual,Diesel
JEEP GRAND CHEROKEE 2021 LAREDO 3.6 AUT,31590000,9.050 km,Automática,Bencina
2000 Chevrolet Luv D-Max 4,3500000,325.000 km,Manual,Bencina
2011 Honda Cr-V 2.4 LXS 4X2 Auto,12500000,90.900 km,Automática,Bencina
2014 Mitsubishi Montero Sport,9000000,1 km,Automática,Diesel
2014 Nissan Qashqai 1.6 4x2,10500000,107.000 km,Manual,Bencina
2018 Citroën C3,13490000,55.600 km,Manual,Diesel
2008 Honda Cr-V 2.4 LX 4X2 AUTO,8690000,171.000 km,Automática,Bencina
2016 Mitsubishi L200 Dakar Full,21500000,59.112 km,Automática,Diesel
2016 Kia Sportage,16200000,32.000 km,Manual,Bencina
2011 Hyundai Tucson 2.0 LM GL 2WD AC 2AB ABS Auto,11200000,107.500 km,Automática,Bencina
2019 Great Wall Voleex C30,8000000,43.000 km,Manual,Bencina
2011 Mazda 3 1.6 V,7600000,115.014 km,Manual,Bencina
2014 Audi A3 1.4 TFSI S Tronic Attraction Sportback,14850000,98.000 km,Automática,Bencina
2018 Peugeot Partner 1.6 Tepee Outdoor Manual Allure 7P,14500000,72.000 km,Manual,Diesel
2016 Jeep Wrangler 2.8D Sport Auto 4WD,29500000,119.000 km,Automática,Diesel
2013 Ford Ranger 2.5 Duratec XLT,16800000,29.200 km,Manual,Bencina
2009 Chevrolet Vivant,4400000,90.000 km,Manual,Bencina
2020 Foton Midi,11950000,42.311 km,Manual,Bencina
2006 Chevrolet Corsa,2700000,138.697 km,Manual,Bencina
2014 Renault Kangoo,7300000,142.261 km,Manual,Diesel
2019 Suzuki Ignis 1.2 Manual GL,9990000,44.000 km,Manual,Bencina
2013 Ford F-150 5.0 Double Cab XLT 4WD,20500000,117.000 km,Automática,Bencina
2008 Jeep Compass,7750000,198.400 km,Automática,Bencina
2017 Dodge Ram 2500 6.7cc Diesel Facturable,33990000,50.000 km,Automática,Diesel
SUZUKI CELERIO 2018 GLX SPORT HB 1.0,9280000,86.000 km,Manual,Bencina
2015 Nissan Navara NISSAN NAVARA HEAVY DUTY FULL 4X4 UNICO DUENO,16290000,121.000 km,Manual,Diesel
2017 SsangYong Actyon Sports 2.0D LL 4WD NAS711,13990000,110.000 km,Manual,Diesel
2019 Dodge Ram 1500,49900000,38.000 km,Automática,Bencina
2018 Land Rover Discovery Sport,30500000,62.000 km,Automática,Diesel
2018 Mazda Cx-3 2.0 R Auto Skyactive,15990000,106.605 km,Automática,Bencina
2020 Subaru Impreza 2.0i CVT Auto Limited Sport 4WD,19000000,21.400 km,Automática,Bencina
2019 Nissan Sentra 1.8 Advance CVT Auto,14000000,21.600 km,Automática,Bencina
2015 MINI Countryman,13990000,67.000 km,Automática,Bencina
