Nombre,Precio,kilometraje,Transmisión,Combustible
2020 Zxauto Terralord 2.5 Diesel DLX 4WD,15900000,85.000 km,Manual,Diesel
2016 Kia Morning,8990000,76.000 km,Manual,Bencina
2017 Peugeot 301 1.6 HDI Allure,8500000,86.000 km,Manual,Diesel
2018 Mercedes Benz GLC 43 AMG AMG,46990000,45.000 km,Automática,Bencina
2016 Mazda 3 1.6 S Auto,12350000,41.000 km,Automática,Bencina
2015 Mitsubishi Outlander,18500000,116.000 km,Automática,Híbrido
2012 Hyundai New Tucson 4WD,11950000,138.000 km,Manual,Bencina
2013 Toyota YARIS GLI 1.5 AUT,8300000,184.000 km,Automática,Bencina
2015 SUBARU FORESTER 2.0 X 4WD,15490000,121.000 km,Manual,Bencina
2011 Porsche Cayenne 4.8 V8 Turbo Tiptronic,30970000,103.000 km,Automática,Bencina
2017 Mitsubishi L200 2.4 TD Manual Work CD CR WF,18500000,105.000 km,Manual,Diesel
2019 Renault Oroch 1.6 Manual Zen,13990000,17.000 km,Manual,Bencina
2009 Geely Ck 1.3 I GS,3000000,119.578 km,Manual,Bencina
2019 Ram Ram 1500 5.7 Laramie Crew Cab 4WD,35000000,79.000 km,Automática,Bencina
2018 Ford Explorer 2.3 Limited Ecoboost Auto 4WD,28000000,50.000 km,Automática,Bencina
2012 Chevrolet Captiva 2.4 LS,12500000,75.000 km,Manual,Bencina
2015 Ford Ecosport 1.6 SE,8950000,150.000 km,Manual,Bencina
2017 Chevrolet Onix,8870000,33.000 km,Manual,Bencina
2017 Hyundai TUCSON,500000,78.498 km,Manual,Diesel
2018 Jeep Compass 2.4 Sport,16400000,34.500 km,Manual,Bencina
2021 Renault Kwid OUTSIDER,12190000,7.200 km,Manual,Bencina
2012 Hyundai I30 1.6 GLS GD 2AB,8700000,121.000 km,Manual,Bencina
2013 Mitsubishi L300 2.0 Furgon Gasolina,9790000,120.000 km,Manual,Bencina
2009 Citroën C4 1.6 Auto,4000000,100.000 km,Automática,Bencina
2011 Kia Morning 1.1 EX DH AA,4300000,187.000 km,Manual,Bencina
2011 Samsung Sm7 RE 3.5 Auto SEC TC,8000000,170.000 km,Automática,Bencina
2011 Fiat Fiorino 1.3 Furgon,4390000,300.000 km,Manual,Bencina
2013 SsangYong Korando 2.0D ABS,9000000,158.000 km,Manual,Diesel
2020 Chevrolet PRISMA PRISMA 1.4 AUTOMATICO,10390000,18.169 km,Automática,Bencina
2016 Nissan Versa 1.6 Sense,8500000,73.000 km,Manual,Bencina
2016 Kia Soul 1.6 EX,12990000,89.000 km,Manual,Bencina
2005 Chevrolet Optra 1.8 LS AT,4600000,204.000 km,Automática,Bencina
2016 Kia Sportage 2.0 LX AC DAB,13790000,79.000 km,Manual,Bencina
2013 BMW 328 328iA Sport,19900000,46.000 km,Automática,Bencina
2014 Audi A3 SPORTBACK TFSI 1.8 AT,15490000,53.000 km,Automática,Bencina
2018 Volkswagen The Beetle,15690000,17.000 km,Automática,Bencina
2012 Jeep Cherokee 3.7 Liberty Sport Auto 4WD,12800000,100.000 km,Automática,Bencina
2014 Foton Terracota 2.8 Diesel,8500000,188.398 km,Manual,Diesel
2018 Mitsubishi L200 2.4 Manual TD Katana CD CR,16600000,148.000 km,Manual,Diesel
2007 Hyundai H-1 MINIBUS H-1 SV ESCOLAR,6800000,280.000 km,Manual,Diesel
2017 SsangYong Actyon Sports NAS612,15400000,114.000 km,Manual,Diesel
2013 Mazda 2 1.5 V Auto,7390000,130.300 km,Automática,Bencina
2019 Mitsubishi L200 2.4 TD Manual Katana CD CRM 4WD,25990000,1 km,Manual,Diesel
2016 Mazda 2 1.5 V Auto Skyactive Sport,11900000,26.000 km,Automática,Bencina
2017 Audi Q5 Quattro Sline 2.0,25290000,58.600 km,Automática,Bencina
2014 Citroën C4 1.6 VTi 120 Seduction,7950000,86.000 km,Manual,Bencina
2017 Nissan Pathfinder 4x4 3.5 Aut.,21990000,78.000 km,Automática,Bencina
2018 Peugeot 5008 2.0 BlueHDI 150 S&S Allure,21800000,40.000 km,Manual,Diesel
2013 BMW 116 1.6 116i,12500000,109.000 km,Manual,Bencina
2021 Changan Md201 1.2 Pick Up,8700000,200 km,Manual,Bencina
2014 Ford Edge 3.5 SEL 4WD,17500000,109.209 km,Automática,Bencina
2018 Jaguar Xe 2.0 Pure Auto,25000000,45.000 km,Automática,Bencina
2021 Mitsubishi L200 2.4 TD Work CD CR,23500000,5.500 km,Manual,Diesel
MAHINDRA XUV500 2018 XUV500 FL CRDE 2.2,16590000,81.000 km,Manual,Bencina
2018 Nissan Qashqai,14400000,106.000 km,Manual,Bencina
2021 Chevrolet N400 Max 1.5 Van AC,9000000,5.800 km,Manual,Bencina
2008 Hyundai Santa Fe 2.7 GLS 4WD AUTO,9000000,185.000 km,Automática,Bencina
2013 Mazda 6 Mazda,12300000,100.800 km,Automática,Bencina
2009 Land Rover Range Rover,18900000,208.000 km,Automática,Bencina
2019 Volvo XC90 T8 TWIN ENGINE AWD INSCRIPTION,59990000,20.000 km,Automática,Bencina
2010 BMW X5 3.0 XDrive IA,15000000,120.600 km,Automática,Bencina
2015 Yamaha Ybr CARRO GOLF,3980000,2.000 km,Automática,Eléctrico
2013 Fiat Grande Punto 1.4,6500000,47.000 km,Manual,Bencina
2015 Chevrolet Sail 1.4,5500000,89.000 km,Manual,Bencina
2021 Jac S2 1.5 Comfort Smart,12000000,10.000 km,Manual,Bencina
SSANGYONG TIVOLI 2016 TIVOLI 1.6,13380000,68.500 km,Manual,Bencina
SAMSUNG SM3 2011 ENTRY 3 1.6,5990000,152.000 km,Manual,Bencina
2013 Ford Ranger 2.5 Duratec XLT,16800000,29.200 km,Manual,Bencina
2018 Mazda 3 2.0 Manual Skyactiv-G V,14990000,16.000 km,Manual,Bencina
2013 Honda Fit 1.3 AUTOMATICO,8970000,106.700 km,Automática,Bencina
2019 Mercedes-Benz Gl 350 aleman,48000000,78.000 km,Automática,Diesel
2016 Toyota 4Runner,19500000,116.000 km,Automática,Bencina
2011 Mercedes-Benz C 200 1.8 C 200 Blue Efficiency Elegance,12900000,119.098 km,Automática,Bencina
2019 Ford Ranger 3.2 DSL Auto XLT 4WD,24000000,54.000 km,Automática,Diesel
2014 BMW 235 3.0,25490000,47.000 km,Automática,Bencina
2019 Toyota Rav4,19500000,40.000 km,Automática,Bencina
2012 Ford F-150 5.0 Double Cab XLT 4X4,11500000,160.000 km,Automática,Bencina
2016 Toyota Rav4,14500000,99.000 km,Manual,Bencina
2014 VOLKSWAGEN TIGUAN 1.4 TSI BM Comfortline,13890000,109.000 km,Manual,Bencina
2018 Chevrolet D-Max 2.5 DC High 4WD,19490000,60.000 km,Manual,Diesel
2013 Mahindra Scorpio,9000000,120.000 km,Manual,Diesel
2008 Hyundai Getz,4100000,160.000 km,Manual,Bencina
2015 Subaru Impreza 2.0i XS 4WD,12900000,116.000 km,Manual,Bencina
2011 Peugeot 308 Confort Pack 1.6 HDI,7690000,112.000 km,Manual,Diesel
2016 Mercedes-Benz Cla 200 1.6 CLA 200 Urban Auto,19690000,76.000 km,Automática,Bencina
2012 BMW X6 3.0 XDrive35I A 4WD,23800000,109.263 km,Automática,Bencina
2012 BMW 316 316iA,9890000,180.000 km,Automática,Bencina
2019 Mercedes Benz Sl 63 Amg AMG,110000000,6.800 km,Automática,Bencina
2015 Ford Fusion 2.0,11500000,108.000 km,Automática,Bencina
1999 Kia Besta 2.7 VAN,2700000,2.370.000 km,Manual,Diesel
2017 Peugeot 3008,15500000,90.000 km,Automática,Diesel
2018 Kia Rio 5 1.4 Manual EX,9500000,22.000 km,Manual,Bencina
2008 Daihatsu Terios,6000000,203.300 km,Manual,Bencina
2018 Toyota Rav4 2.0 Manual Lujo,17000000,36.000 km,Manual,Bencina
2014 Suzuki Swift 1.2 GL,6900000,73.000 km,Manual,Bencina
2014 Hyundai Veloster 1.6 GLS Full,9300000,93.000 km,Manual,Bencina
2004 Fiat Palio Wekeend 1.6,2750000,237.418 km,Manual,Bencina
2015 HONDA CR-V LXS 2.4 4X2,15290000,125.000 km,Automática,Bencina
2014 BMW 316 316,13980000,120.000 km,Automática,Bencina
2011 Nissan Pathfinder,13500000,130.000 km,Automática,Diesel
