Nombre,Precio,kilometraje,Transmisión,Combustible
2021 Ford Ranger 3.2 DSL XLT 4WD,31000000,22.000 km,Manual,Diesel
2007 Suzuki Aerio Sx SX GLS,5990000,163.020 km,Manual,Bencina
2011 Volkswagen Tiguan 2.0 4 Motion Full Auto,11000000,190.000 km,Automática,Bencina
2004 Nissan Platina K Plus Mt,3900000,44.000 km,Manual,Bencina
2019 Chery Tiggo 2 1.5 GLS,9480000,27.000 km,Manual,Bencina
2017 Ford Explorer 2.3 Limited Ecoboost Auto,27980000,55.200 km,Automática,Bencina
2019 Dodge Journey 2.4 Auto SE,19380000,81.154 km,Automática,Bencina
2017 Hyundai Grand I10,7900000,95.000 km,Manual,Bencina
2014 SsangYong Actyon Sports 2.0D,11000000,126.000 km,Manual,Diesel
2002 Suzuki Mastervan 1.3 GL,3000000,270.000 km,Manual,Bencina
2001 Ford Ranger XLT SUPER CAB,6990000,180.000 km,Manual,Bencina
2018 Ford F-150 5.0 Double Cab Lariat Luxury 4WD,34990000,108.000 km,Automática,Bencina
2019 Faw Mamut,6200000,22.000 km,Manual,Bencina
2015 Chevrolet N300 Max n300,5980000,145.000 km,Manual,Bencina
2021 Mahindra Pick Up,15500000,15.000 km,Manual,Diesel
2016 Citroën C-Elysee Citroen,10300000,68.000 km,Manual,Diesel
2018 Jeep Compass 2.4 Sport LX,16790000,73.380 km,Manual,Bencina
2014 Hyundai I10,5200000,108.000 km,Manual,Bencina
Jeep Grand Cherokee 2 2014,18090000,117.809 km,Automática,Gas
2011 Jeep Compass,9000000,150.000 km,Automática,Bencina
2018 Mazda Bt-50 3.2 DSL SDX Auto Hi Rider 4WD,25500000,62.500 km,Automática,Diesel
2018 Chevrolet Equinox PREMIER,19490000,48.400 km,Automática,Bencina
2019 Volkswagen Gol 1.6 Comfortline,9299000,19.000 km,Manual,Bencina
2009 Kia Sorento 3.3 LX GSL Auto 4X4,9500000,137.465 km,Automática,Bencina
2012 Great Wall Wingle 5 2.2 SEP,6990000,137.000 km,Manual,Bencina
2012 Nissan Murano 3.5 Auto,14300000,161.500 km,Automática,Bencina
2015 Suzuki S-Cross,11000000,132.000 km,Manual,Bencina
2017 Baic X25 1.5 Manual Comfort,7900000,15.800 km,Manual,Bencina
2018 Kia Sportage 2.0 GSL LX,16700000,50.000 km,Manual,Bencina
2014 Ford F-150,25000000,87.100 km,Automática,Bencina
